"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3c9504c1-037e-48da-8ec1-49a0cba8587d","","no-status-not-started","","folder","TRUE","FALSE","ITP's"
"8c6269ac-5981-437e-a92b-c98218a647b3","","no-status-not-started","","folder","TRUE","FALSE","ITP-009 Subsoil Drainage"
"689ed3f1-e7ad-4b6a-88e2-ab6ba0fae572","","work-in-progress","","folder","TRUE","FALSE","ITP-0014 Earthworks and subgrade Preperation"
"3a1a4db1-a19c-4685-8850-5cac03098979","","not-started","ITP-002 (B) - Underground Stormwater Drainage Lot 1 BC","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (B) - Underground Stormwater Drainage Lot 4 BC"
"5484fd0b-cccb-4da7-9c0a-643cd244fa01","","not-started","ITP-002 (B) - Underground Stormwater Drainage Lot 1 BC","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (B) - Underground Stormwater Drainage Lot 5 BC"
"67258610-cbb2-414b-96b6-f2eb0e7066eb","","not-started","ITP-002 (A) - Underground Stormwater Drainage Lot 3 RCP","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (A) - Underground Stormwater Drainage Lot 6 RCP"
"0d111082-f7d5-4abb-bbce-11d823ef407a","","not-started","ITP-002 (A) - Underground Stormwater Drainage Lot 3 RCP","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (A) - Underground Stormwater Drainage Lot 7 RCP"
"14780ad6-ea82-4f8d-a5e1-f557b380898d","","work-in-progress","ITP-002 (B) - Underground Stormwater Drainage Lot 1 BC","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (B) - Underground Stormwater Drainage Lot 8 BC"
"6e3964cb-45fd-4803-9514-a6177b390561","","not-started","ITP-002 (A) - Underground Stormwater Drainage Lot 3 RCP","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (A) - Underground Stormwater Drainage Lot 9 RCP"
"818c680f-2a32-4bc2-80d4-b37835c2de4d","","not-started","ITP-002 (A) - Underground Stormwater Drainage Lot 3 RCP","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (A) - Underground Stormwater Drainage Lot 10 RCP"
"8fc153fb-1c0a-47ba-98e5-ae4710bc38cd","","not-started","ITP-002 (A) - Underground Stormwater Drainage Lot 3 RCP","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (A) - Underground Stormwater Drainage Lot 11 RCP"
"89ae75e9-cfe1-41b4-9786-cfe3863abc47","","work-in-progress","","folder","TRUE","FALSE","ITP-005 - Crushed Rock Class 3"
"15496422-529c-4b0f-bcbf-ef857fc3e80c","","work-in-progress","ITP-005 - Crushed Rock Class 3 (Lot2)","checklist","FALSE","FALSE","ITP-005 - Crushed Rock Class 3","ITP-005 - Crushed Rock Class 3 Lot 1 East Quadrant layer 1"
"7c741337-7808-4006-adfa-c6486be42aad","","work-in-progress","ITP-005 - Crushed Rock Class 3 (Lot2)","checklist","FALSE","FALSE","ITP-005 - Crushed Rock Class 3","ITP-005 - Crushed Rock Class 3 Lot2 East Quadrant layer 2"
"d0f3f4e4-2130-4c4a-babf-b71462e87da7","","work-in-progress","","folder","TRUE","FALSE","ITP-015 - Construction of Kerb and Channel "
"c654e807-1e42-4761-8ced-fa43a0c76a09","","work-in-progress","ITP-015 - Construction of Kerb and Channel Lot 3","checklist","FALSE","FALSE","ITP-015 - Construction of Kerb and Channel ","ITP-015 - Construction of Kerb and Channel Lot 1"
