"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ad2e66d9-2596-4836-a908-083dbbe44f93","","","","folder","TRUE","FALSE","Site QA"
"784115f6-d19e-481e-98da-2dadf5aee4f3","","","","folder","TRUE","FALSE","Site QA","Building A"
"998b52fe-078b-4425-921a-56aa05273680","","","","folder","TRUE","FALSE","Site QA","Building A","Level 2"
"623dd645-284e-4fac-9eb7-8bd581819cf9","","","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Residential areas"
"3bfc0efe-503c-42bd-9d67-17d4450a6dec","","","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 201"
"4b8dd48e-349c-453b-95b3-cc1bd0124291","","","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Service areas","Services (Riser)"
"4145fb4e-6434-43db-b4a9-b525768bb486","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Service areas","Services (Riser)","Pre Wire"
"5d09f5c9-8ab8-4784-80e7-419eb977e3d3","","","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Service areas","Services (Riser)","Terminated & Tested"
"159e2942-07ee-401c-9fd8-7b2a57cfa987","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Service areas","Services (Riser)","Fit off"
"ede60bc6-f6e7-4dfe-bef7-4d01d4d4b7c6","","","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Service areas","Stair"
"96cd407f-981e-44aa-9dda-721cffe17eaf","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Service areas","Stair","Pre Wire"
"5dad94c7-1daa-46a7-bdf9-7ab09a0a7150","","","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Floor Commissioning"
"03cbe615-9b34-4587-a46a-69a2bddb3974","","","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Floor Commissioning","Floor Commissioning"
"7c2da41a-7dc8-4551-a3be-6b759ad579a6","","","Floor Commissioning","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Floor Commissioning","Floor Commissioning","checklist"
"29a56fe9-30c6-429f-85b5-25ddf48a42de","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3"
"140aa067-c959-4c3c-84a4-775394cd8283","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas"
"ea3c3160-66d3-421c-a295-f71ea7f01385","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 301"
"3a7a728c-8478-4ddd-9565-3b576419486d","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 301","Pre Wire"
"4548b466-f47c-4ce2-891a-7776e5ef1815","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 301","Install DB"
"e1d3a1a8-e8ea-4a26-81e8-d359664eba3f","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 301","Fit off"
"e2147cb4-081f-4ecb-b274-e177c99f8688","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 302"
"d00d9de2-e25a-412b-9e8f-79ae122bc74a","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 302","Pre Wire"
"1fba38fc-203a-4ea5-92f2-902fb11277ca","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 302","Install DB"
"9fc104ae-e74a-4170-9ca8-68ea11a442cf","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 302","Fit off"
"c63488de-c7fa-4380-810f-06d001a53053","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 303"
"69f453af-d01d-4629-8344-1e3261e257f8","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 303","Pre Wire"
"2fa20288-7b0d-449b-96cb-74bec4a533bb","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 303","Install DB"
"306567af-9f63-4ec3-a0ca-20f765c3de74","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 303","Fit off"
"c050085c-bd47-4d19-9b12-87e68110526a","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 304"
"af512efa-93dc-4c1d-8ae3-4b4ba037efb5","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 304","Pre Wire"
"3a6487f3-af88-445d-9cc1-12a266c6ec1a","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 304","Install DB"
"32f5ceb9-5f5c-4591-bfa3-e6e5e88e84b5","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 304","Fit off"
"9ae82ce2-a43a-4ea7-8a84-652575287e4b","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 305"
"9462fb8e-208c-4120-b0da-2ea8c78b0666","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 305","Pre Wire"
"2d3e2024-d39b-4e57-aad5-f1ca491670d3","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 305","Install DB"
"31fe1d4e-547b-4da2-91e6-d50f9d816269","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 305","Fit off"
"8f1fefa0-c944-422f-b759-7f6a49063f15","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 306"
"ecd68666-4c66-4cc4-a137-e49936540479","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 306","Pre Wire"
"402ab654-03ec-4b52-8a92-97913cc94da5","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 306","Install DB"
"75cf1e90-cdfc-4a25-94f2-0139f4d59bee","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 306","Fit off"
"894fa63b-a606-4867-a226-0022f447ed34","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 307"
"117e7fca-bd1b-4a10-8024-d102fb5f0c69","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 307","Pre Wire"
"84e25b4e-4a31-444b-9e07-82ae8f8548fb","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 307","Install DB"
"067cbfba-d5ba-42c2-8ea4-9b21e0bd9d8f","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 307","Fit off"
"316a976d-05b7-443f-859d-88ef639d47fa","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 308"
"a9388a31-c21a-47ad-8c7b-b1f16144c917","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 308","Pre Wire"
"64a331e0-9409-4d0a-82c1-b26d5d05907c","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 308","Install DB"
"46820a8f-990d-4821-ae4b-cff7eb034762","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 308","Fit off"
"54e3c7f6-84f1-4d8c-8eff-43512547e587","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 309"
"84f9e9b7-5717-4f53-82d6-31e929dbb263","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 309","Pre Wire"
"523a3d39-c755-461f-8c62-da8479311764","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 309","Install DB"
"4623005a-8688-43e5-8e4c-b62b1553fee2","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 309","Fit off"
"843256d7-7ab1-4658-b794-cdfc7d2ee24f","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 310"
"b3e8fcd1-a9ac-4788-96ef-66a4a7d90deb","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 310","Pre Wire"
"3209745f-858b-4e7b-a97f-bd5a23084926","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 310","Install DB"
"9a82947b-a730-4353-a6e1-2436f2c38bad","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 310","Fit off"
"50b15b83-b0e7-412c-a295-0e5d59c788a8","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 311"
"1f193fe2-73ff-4cf3-96e3-36d26174861f","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 311","Pre Wire"
"ec053250-a51d-4d15-ac9c-0aa36fd438cc","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 311","Install DB"
"8ed69c0d-9c55-47b5-902b-9affb2287481","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 311","Fit off"
"5622d8a7-2681-426a-b8ee-0fd5a5375ae2","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 312"
"8d4c38d4-83fe-453b-ac3f-7f9ca99fa2fd","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 312","Pre Wire"
"4072ec8b-2a5b-4ef2-8342-b3e284b87ac4","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 312","Install DB"
"a53cd1e4-3113-49ac-8aad-14128e81962f","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 312","Fit off"
"c7b1992a-d370-41a8-ac5e-048bfa208bea","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 313"
"0a6fb63a-d11e-44c2-ba1e-e0c62cd21751","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 313","Pre Wire"
"ed2b8e85-39a4-427a-a356-496d3acf989d","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 313","Install DB"
"43ee9ecf-94eb-4184-9588-c14b4c5f9e3c","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 313","Fit off"
"2e265c07-ac89-4b24-b103-29692b2283e2","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 314"
"28b974b0-efd9-4cc8-b3e3-14a74fce7825","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 314","Pre Wire"
"a57217c6-3f60-49d7-bdf3-935669329b8e","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 314","Install DB"
"3b06916e-42cc-4c09-8a0c-f31e04e78157","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Residential areas","Apartment 314","Fit off"
"bcdb9f00-6760-465e-809d-232a51f4103d","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Common areas"
"a05cb704-0bdf-42d7-9b6d-05b7e541de18","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Common areas","Stair 1"
"f29b47c8-b434-402b-88ce-45ea304a13f3","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Common areas","Stair 1","Pre Wire"
"8b86c0bb-9124-4735-944c-f46f29e37c16","","","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Common areas","Stair 1","Terminated & Tested"
"96bb7586-0105-47f1-b133-67a3ba7aea08","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Common areas","Stair 1","Fit off"
"9e160678-4ca4-4518-b4b1-313d5da9771c","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Common areas","Corridor near 301"
"d0676337-4a38-4d84-99c2-a8830681efbe","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Common areas","Corridor near 301","Pre Wire"
"c84410b3-1c74-449b-9437-465ee6475a11","","","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Common areas","Corridor near 301","Terminated & Tested"
"e1b2b087-79be-46e2-9712-dd7e264d9796","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Common areas","Corridor near 301","Fit off"
"98e5d141-3ecf-4fcb-8db0-a14882fbfee8","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Common areas","Corridor near 303"
"bbb8c0d5-2153-4a9b-b3ab-6ef6a64b47d1","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Common areas","Corridor near 303","Pre Wire"
"a97c8819-44b2-4efd-a481-b0ce415f4dd3","","","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Common areas","Corridor near 303","Terminated & Tested"
"92ad9e6e-b4ab-4337-8782-190431898dea","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Common areas","Corridor near 303","Fit off"
"6b8876c7-00c1-463f-9761-e39827bde8ab","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Service areas"
"f2653d9d-a99d-472a-bf3c-2e01715edd96","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Service areas","ICT Riser"
"db2f1a08-2e2b-479d-aee7-c4aa27505113","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Service areas","ICT Riser","Pre Wire"
"8f28266f-80e0-4728-9b6d-bd11aec4af4b","","","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Service areas","ICT Riser","Terminated & Tested"
"5a7dc107-85c6-4b25-8ff5-880e97528be6","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Service areas","ICT Riser","Fit off"
"4534af02-18be-4234-b449-9c9c7aa52f75","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Service areas","Comms Room"
"7569c9b3-4372-4627-ab52-3872e4bc44b9","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Service areas","Comms Room","Pre Wire"
"8b661966-ccf0-4d87-943d-610dea9cd86b","","","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Service areas","Comms Room","Terminated & Tested"
"429b9402-278d-475b-aa3b-d9f10a7a78dd","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Service areas","Comms Room","Fit off"
"1d0478a8-f60b-4878-b5a4-4c3be96d5bae","","","","folder","TRUE","FALSE","Site QA","Building A","Level 3","Floor Commissioning"
"bf10255d-f309-4e19-b60a-2312f0778a7f","","","Floor Commissioning","checklist","FALSE","FALSE","Site QA","Building A","Level 3","Floor Commissioning","Floor Commissioning"
"09b2ef81-cb6b-487a-b7ce-5750abd06c20","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4"
"88958f18-aaba-4140-9e52-b899ef44afaa","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas"
"8edef684-09b7-4a30-a4c6-a15c5e393474","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 402"
"98f151eb-e3dc-46a0-9ea2-78dae7e41660","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 402","Pre Wire"
"3ba2ffe7-759f-4eeb-bed8-5b37cfed66cf","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 402","Install DB"
"84675337-5c2e-4a70-b3a9-06a135d3c3ec","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 402","Fit off"
"ddbd536d-5c40-4ddd-aa0c-f1a655de0d41","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 401"
"8266115d-d9d9-450a-9556-234b9f3564b7","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 401","Pre Wire"
"c8c002cd-4943-4373-93c6-d3e95a78b79d","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 401","Install DB"
"e92689cf-f39e-49bd-b5b3-b4c9d67ded96","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 401","Fit off"
"ae515363-e579-4ce7-8869-96f356bdd367","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 403"
"911a1458-0e3b-4f5c-8e29-a153c2b399be","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 403","Pre Wire"
"42569bde-80db-4933-8ec2-cf8c591b97e4","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 403","Install DB"
"9f76704c-76b3-4183-907a-be75e6af3bb7","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 403","Fit off"
"16f06393-0e6a-4a9b-9886-e14b63a8368b","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 404"
"10e47f6a-c731-420d-8950-c0edbd5a28da","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 404","Pre Wire"
"9ff988ef-fa5c-49b1-9d31-0ec134d1b9d8","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 404","Install DB"
"fa3d7c60-f895-453c-8d2e-b8bbaa8d11ae","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 404","Fit off"
"7082f62a-ff7a-4d01-9e79-d05f33f659ff","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 405"
"237c7128-2b9a-4ffc-abfa-91cc0a63a8fe","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 405","Pre Wire"
"91392b23-3f3c-44fb-b721-01e47bb4f352","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 405","Install DB"
"20597ca6-9000-490a-907b-7bfc813c66c8","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 405","Fit off"
"08753a4c-412d-4e30-ab78-70589967baae","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 406"
"2d3b5143-b5e9-4b3b-82f8-491d7f3a91e7","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 406","Pre Wire"
"338ad9f7-a595-4746-b46e-1ca932e5c960","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 406","Install DB"
"83ddbad4-9b09-402d-ae3b-8c38fdaba6bb","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 406","Fit off"
"0a7f1d80-77a8-4f6e-9112-8d1beff49a60","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 407"
"34471721-5d6f-4559-80c6-3c774482f960","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 407","Pre Wire"
"ba0340a3-f431-456e-84ae-a5ce5382b18d","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 407","Install DB"
"4bdbd3f5-a19e-480e-8c4a-5ba091332318","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 407","Fit off"
"cc32679d-1879-4ace-b551-807bd26b7dae","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 408"
"c0221d80-e79b-465e-bcae-90453b5abfc4","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 408","Pre Wire"
"7fb2d9f0-019e-4ade-9c0b-04e3b688685c","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 408","Install DB"
"ff3a826a-a9b7-4881-88d3-0ada864fbc9f","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 408","Fit off"
"6cb58a94-d6ee-4986-8575-0ade7b45ac4c","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 409"
"4c7882ee-e0ea-4a57-a104-dec4540bd631","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 409","Pre Wire"
"804e684b-5710-4c36-8121-8a91dae23634","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 409","Install DB"
"0c35defc-a44e-488c-8c1f-0b49624735d5","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 409","Fit off"
"1f948f98-56c8-4f01-9cab-2173d20e063f","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 410"
"b69c0865-8a97-4d42-81d9-f934a8aa0fdf","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 410","Pre Wire"
"d47d1b01-cf35-440b-a437-aa8ee01b02ac","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 410","Install DB"
"c04d1389-841d-4118-b2e3-f018abc93f86","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 410","Fit off"
"f8875364-1c88-4036-aeb5-e1d16d0f6c10","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 411"
"eb3fc670-bbf7-4427-99b5-ddc53e7dbe40","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 411","Pre Wire"
"3decc427-d9a4-4320-8255-b6778aef1aec","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 411","Install DB"
"202b939c-f101-4139-be4f-e82ca239bba1","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 411","Fit off"
"376b25ef-6da2-4c8b-80d3-9270d5ce1489","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 412"
"8d467f57-3ad3-418b-a260-21a0cff56981","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 412","Pre Wire"
"a97c7c38-14cf-40e0-95e9-70020906007f","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 412","Install DB"
"600bc87d-c702-4f82-aca5-2c2ebf78bba6","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 412","Fit off"
"bb03cbdc-1bee-45f4-b094-47c1cdcf59e0","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 414"
"25165ddd-9ddb-4b0a-bb0b-c05d72bad0d4","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 414","Pre Wire"
"ec3a1928-61db-4091-987b-97b428794f45","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 414","Install DB"
"aacbb1c7-459a-4a61-8cc3-ee6941fe3a96","","","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 414","Fit off"
"c0e64ef5-eace-433f-96cf-51c197abf2d7","","","","folder","TRUE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 413"
"b0acb7b1-fe3e-4720-8d71-b265710bf073","","","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 413","Pre Wire"
"951fd935-b042-442a-8b9a-b0007fbc1785","","","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 4","Residential areas","Apartment 413","Install DB"
