"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ffdb402e-4d5c-467d-b043-12b1372c5749","","","","folder","TRUE","FALSE","General"
"bd042f10-b6a5-4a4c-aab6-94726d16d4fa","","","","folder","TRUE","FALSE","Water"
"e3e0b250-ec06-43c4-9d9b-d589698441df","","","","folder","TRUE","FALSE","Headingly Lane"
"b10d7c0f-7764-4372-9d5a-896203603a60","","","","folder","TRUE","FALSE","Manholes, Structures & Sumps"
"03f64606-91dd-4c07-8a6a-03c6bbed2c7c","","","","folder","TRUE","FALSE","Stormwater"
"d93dd92f-a54b-4353-9b9a-76fb99c491ac","","","","folder","TRUE","FALSE","Wastewater"
"0f0855da-0990-48fb-ade6-f56f6add6ccc","","","","folder","TRUE","FALSE","Abutment A"
"c862d2a0-2261-4b3f-b40e-8d51cec0c52f","","","","folder","TRUE","FALSE","Abutment A (Left)"
"c14273d3-6268-48ec-af2f-e80d0ed6c473","","","","folder","TRUE","FALSE","Abutment D"
"5b8e6f2f-98a8-428f-8175-508703bd8d0b","","","","folder","TRUE","FALSE","Abutment D (Right)"
"92c67617-940c-43ec-8671-842503135531","","","","folder","TRUE","FALSE","Lower Queen St (Left)"
"3cb3dd01-6e04-45cb-a1b0-7d97b0245b4d","","","","folder","TRUE","FALSE","Lower Queen St (Right)"
"1dd9eaf1-56ee-4313-be36-a402247d0fd3","","","","folder","TRUE","FALSE","Pier B"
"3f8430b5-65b9-4f8a-8ca6-3ab79878ac19","","","","folder","TRUE","FALSE","Pier B (Left)"
"c003ad30-6e61-4c4d-8f41-ca548ad90e44","","","","folder","TRUE","FALSE","Pier C"
"878dddcc-b553-4b71-a5c9-da3a7102a49a","","","","folder","TRUE","FALSE","Pier C (Right)"
"c011866d-6288-4b87-a0a7-1e7e8269567a","","","","folder","TRUE","FALSE","Span 1"
"9194e7fa-7984-4bc2-8292-db8f3592221b","","","","folder","TRUE","FALSE","Temporary Bridge Deck"
"225ce196-e514-4ca6-9a47-de7eda6b2b72","","","","folder","TRUE","FALSE","Bridge Lower Queen St"
"f86bd41c-e0a4-4e6c-bbb6-50e24dcd86e1","","","","folder","TRUE","FALSE","Bulk Earthworks"
"e630d165-c9b6-47ff-b869-a00ee4668455","","","","folder","TRUE","FALSE","East Lower Queen St"
"c6645f7d-bc25-40bb-992b-7289babad60c","","","","folder","TRUE","FALSE","Hand Rails"
"63a09cde-963b-46d6-b1b9-27581248e9bf","","","","folder","TRUE","FALSE","Power"
"73fe8b1e-d539-4295-9cbc-f9f32c84f3be","","","","folder","TRUE","FALSE","River Protection"
"296019cb-9bf9-44ba-8ace-161eacb398a0","","","","folder","TRUE","FALSE","Span 2"
"fca13a9f-b817-427f-9dd0-99a3625a4119","","","","folder","TRUE","FALSE","Span 3"
"055e1f8a-18b9-4bca-9ced-744230b5cf50","","","","folder","TRUE","FALSE","Structural Fill"
"174eaddc-5934-4478-aad0-827b4e86e8ee","","","","folder","TRUE","FALSE","Telecom"
"5e4db816-a326-47e4-9f44-03ba9b84dd76","","","","folder","TRUE","FALSE","Temporary Road"
"477012b0-9f0e-4eda-b60e-68f331858594","","","","folder","TRUE","FALSE","West Lower Queen St"
"9558078a-7071-49c1-bb43-3ab88f2587d9","","","","folder","TRUE","FALSE","Enabling Works"
"f5df9c43-9b59-4af7-b03b-43054272733a","","","","folder","TRUE","FALSE","Enabling Works","Temporary Road"
"74440059-4e3d-4021-a748-5e8c444fb169","","","","folder","TRUE","FALSE","Enabling Works","West Lower Queen St"
"6846ef7f-7c9a-4955-bf79-16e4382acc1f","","","","folder","TRUE","FALSE","Three Waters"
"a30a37af-d44e-4c72-9a71-321a50ff586e","","","","folder","TRUE","FALSE","Three Waters","Abutment A"
"7bbdaed3-8cec-480b-a69b-3fb249f4ec46","","","","folder","TRUE","FALSE","Three Waters","Abutment A (Left)"
"d1090e40-9e47-4263-a1c3-38b2f81a4431","","","","folder","TRUE","FALSE","Three Waters","Abutment D"
"7b855dbd-9396-4f57-bf5b-acde5eaa1480","","","","folder","TRUE","FALSE","Three Waters","Abutment D (Right)"
"da9885a9-431e-46ce-ae12-4903779d2462","","","","folder","TRUE","FALSE","Three Waters","General"
"9118fe39-82a7-4b82-a649-e1653b327416","","","","folder","TRUE","FALSE","Three Waters","Hand Rails"
"420e3d9d-4bba-4ddf-8f69-787898ef0638","","","","folder","TRUE","FALSE","Three Waters","Headingly Lane"
"9650c24d-4898-442c-905a-041a88fc6c70","","","","folder","TRUE","FALSE","Three Waters","Lower Queen St (Left)"
"34d306c1-3e17-4b6d-be02-a3b8b3428c6f","","","","folder","TRUE","FALSE","Three Waters","Lower Queen St (Right)"
"412fd17d-9e72-4002-a7ae-9b165b57eb81","","","","folder","TRUE","FALSE","Three Waters","Manholes, Structures & Sumps"
"1237e5d2-cf88-4f0e-89af-5aa3b847383e","","","","folder","TRUE","FALSE","Three Waters","Pier B"
"54c9c312-7907-4fa0-a44e-dafebd8e21a2","","","","folder","TRUE","FALSE","Three Waters","Pier B (Left)"
"53e6bb35-f08f-4c5c-be3e-37d9498c650c","","","","folder","TRUE","FALSE","Three Waters","Pier C"
"9af14bbb-74e6-4ded-8e16-1a176df192df","","","","folder","TRUE","FALSE","Three Waters","Pier C (Right)"
"ee881c5b-3674-48c9-8408-e28b47d8e6a7","","","","folder","TRUE","FALSE","Three Waters","Power"
"1fecf959-b550-4f66-af78-f48ff46f2d3b","","","","folder","TRUE","FALSE","Three Waters","Span 1"
"7c5364d0-4ca3-4576-baf6-3ceb8266fc93","","","","folder","TRUE","FALSE","Three Waters","Span 2"
"3bd9168a-ec79-41f4-bdf5-e4cd4116e31b","","","","folder","TRUE","FALSE","Three Waters","Span 3"
"d87a11ff-9155-49f4-974d-50bb0912a3d2","","","","folder","TRUE","FALSE","Three Waters","Stormwater"
"6be43bcb-0e92-4e7a-868d-9399f0f7cb68","","","","folder","TRUE","FALSE","Three Waters","Temporary Bridge Deck"
"863bdad4-d9a0-4790-85ae-9970589be5c4","","","","folder","TRUE","FALSE","Three Waters","Wastewater"
"d9635b30-60b4-499e-9891-82286974d3e0","","","","folder","TRUE","FALSE","Three Waters","Water"
"f283e132-2814-43b5-a5e9-629dacee06a8","","","","folder","TRUE","FALSE","Three Waters","Bridge Lower Queen St"
"1d825a5b-5aaa-4f51-b82f-f49aebd72e85","","","","folder","TRUE","FALSE","Three Waters","Bulk Earthworks"
"09ffdc9f-7b22-446a-85e7-12a1e5c6da94","","","","folder","TRUE","FALSE","Three Waters","East Lower Queen St"
"4bc7765e-55f2-4eff-80e0-bfa2bb3f74bd","","","","folder","TRUE","FALSE","Three Waters","River Protection"
"97bcbb78-58f5-419e-9d25-2b8cada2720a","","","","folder","TRUE","FALSE","Three Waters","Structural Fill"
"aeaf7058-59ea-43ac-98ac-a0e8caa09442","","","","folder","TRUE","FALSE","Three Waters","Telecom"
"e06552d6-f755-4bf9-b026-73d0495a1d17","","","","folder","TRUE","FALSE","Three Waters","Temporary Road"
"fe6c8194-bc0d-4f6e-bb5c-42a9cebc428f","","","","folder","TRUE","FALSE","Three Waters","West Lower Queen St"
"9a30db00-b4e7-482e-b65f-a68fc0681f4a","","","","folder","TRUE","FALSE","MSE Walls"
"5d411c9f-989e-4c8f-b8e6-bc074df5e8d4","","","","folder","TRUE","FALSE","MSE Walls","Abutment A"
"362adba1-d0d5-462e-b2aa-ee1aa1a25771","","","","folder","TRUE","FALSE","MSE Walls","General"
"c329104d-fc63-46af-972b-dfa6c37d92f6","","","","folder","TRUE","FALSE","MSE Walls","Headingly Lane"
"2777644e-b63f-4786-ad3a-881f0839b2cd","","","","folder","TRUE","FALSE","MSE Walls","Lower Queen St (Left)"
"14c05a3c-f0b8-4894-b89e-a331248fe700","","","","folder","TRUE","FALSE","MSE Walls","Lower Queen St (Right)"
"6f1622b2-a0b5-49ae-8194-057d648ed1db","","","","folder","TRUE","FALSE","MSE Walls","Manholes, Structures & Sumps"
"30649a87-1224-436c-a539-f5679ceceab5","","","","folder","TRUE","FALSE","MSE Walls","Pier B"
"3501ba6a-96c4-4e21-a413-9b67ae0ffdf5","","","","folder","TRUE","FALSE","MSE Walls","Pier C"
"9be38339-6c73-4753-ad73-b3a5891b5d03","","","","folder","TRUE","FALSE","MSE Walls","Stormwater"
"6c7714c9-7c46-4190-800f-e3baebe3cbae","","","","folder","TRUE","FALSE","MSE Walls","Wastewater"
"c5cd210b-f1ae-4fb6-b804-3d7761afc7ea","","","","folder","TRUE","FALSE","MSE Walls","Water"
"5fee5c71-afd7-4a94-bbfd-9f7836e62ff3","","","","folder","TRUE","FALSE","MSE Walls","Abutment A (Left)"
"7d305e34-87d9-4257-99c3-8925d4678319","","","","folder","TRUE","FALSE","MSE Walls","Abutment D"
"219c69b4-5227-4efb-ae41-5f9155ba02c1","","","","folder","TRUE","FALSE","MSE Walls","Abutment D (Right)"
"1c0a5f9c-c1de-49b6-96db-0fb7e6c0c9d5","","","","folder","TRUE","FALSE","MSE Walls","Bridge Lower Queen St"
"85fe7e64-1e11-4600-98eb-e4ba1df34522","","","","folder","TRUE","FALSE","MSE Walls","Bulk Earthworks"
"645e1174-fadd-46bd-9d28-4d9da5850d90","","","","folder","TRUE","FALSE","MSE Walls","East Lower Queen St"
"26ffff9e-5ee3-46f7-9e39-fa2e3c4538be","","","","folder","TRUE","FALSE","MSE Walls","Hand Rails"
"e7a2a123-a6e1-4834-8baa-77adb554ac69","","","","folder","TRUE","FALSE","MSE Walls","Pier B (Left)"
"1eba76f2-437d-459f-b3cb-04b9be1fe2b9","","","","folder","TRUE","FALSE","MSE Walls","Pier C (Right)"
"fb8e2325-cc95-4f08-b2ec-022e3363143d","","","","folder","TRUE","FALSE","MSE Walls","Power"
"1f71690b-4727-4fa8-821b-b915a945bf06","","","","folder","TRUE","FALSE","MSE Walls","River Protection"
"6ba7a402-32d3-4698-957c-cb28860964e6","","","","folder","TRUE","FALSE","MSE Walls","Span 1"
"b6cb40b8-2764-4c99-8d68-1c4d9888af32","","","","folder","TRUE","FALSE","MSE Walls","Span 2"
"ba5cdc3e-91f6-4054-b606-9bac6b6e1a3c","","","","folder","TRUE","FALSE","MSE Walls","Span 3"
"7d738048-a55c-48cd-9a88-514238f6ea6c","","","","folder","TRUE","FALSE","MSE Walls","Structural Fill"
"4891136c-46c5-4485-ace3-2b278b181292","","","","folder","TRUE","FALSE","MSE Walls","Telecom"
"b6ae2fce-2f90-4cc0-9d24-91298ff66f63","","","","folder","TRUE","FALSE","MSE Walls","Temporary Bridge Deck"
"190c23e1-d88c-4fda-935d-2a73ea3e0f48","","","","folder","TRUE","FALSE","MSE Walls","Temporary Road"
"b536bb5c-a489-41d7-a9b1-68f39e3db756","","","","folder","TRUE","FALSE","MSE Walls","West Lower Queen St"
"b608eed7-03fc-414b-83d0-401095afa6a8","","","","folder","TRUE","FALSE","Temporary Bridge"
"0d1c2067-bb99-456e-bf22-4338a3063bfa","","","","folder","TRUE","FALSE","Temporary Bridge","General"
"e07d727f-c7ef-4702-b206-7068c6c9d404","","","","folder","TRUE","FALSE","Temporary Bridge","Headingly Lane"
"98cceb89-5c4c-472c-8ace-bfdf705c207d","","","","folder","TRUE","FALSE","Temporary Bridge","Manholes, Structures & Sumps"
"b480bbe1-4e3e-43d3-9fad-a9df794ff04e","","","","folder","TRUE","FALSE","Temporary Bridge","Stormwater"
"7c97adeb-a316-4bea-a1e6-ccb15539fb76","","","","folder","TRUE","FALSE","Temporary Bridge","Wastewater"
"2302f49a-22ff-4809-bbe8-638cfe9e7647","","","","folder","TRUE","FALSE","Temporary Bridge","Water"
"8aa75410-cc4a-45ef-94a5-a61203420986","","","","folder","TRUE","FALSE","Temporary Bridge","Abutment A"
"89719d69-4fb6-4fca-8e5b-1dbf229c89f8","","","","folder","TRUE","FALSE","Temporary Bridge","Abutment A (Left)"
"cde1dd6a-bede-443b-b440-f532ce4f697e","","","","folder","TRUE","FALSE","Temporary Bridge","Abutment D"
"bb3eb893-ca37-4581-9603-0def38d2c243","","","","folder","TRUE","FALSE","Temporary Bridge","Abutment D (Right)"
"e6dcda99-1eff-4011-a222-6658f1b48e21","","","","folder","TRUE","FALSE","Temporary Bridge","Bridge Lower Queen St"
"25e4fd10-ef50-4285-9ccd-3fa013cb1ed2","","","","folder","TRUE","FALSE","Temporary Bridge","Bulk Earthworks"
"79c88d55-e015-4e39-956d-3882e6b250a7","","","","folder","TRUE","FALSE","Temporary Bridge","East Lower Queen St"
"f3f232f0-7ff0-41d4-9079-bae9beaedd81","","","","folder","TRUE","FALSE","Temporary Bridge","Hand Rails"
"de653e5e-b81a-4a91-9f92-bf83df51b396","","","","folder","TRUE","FALSE","Temporary Bridge","Lower Queen St (Left)"
"e4121f91-e3a4-4b04-bc88-f09e1069bab3","","","","folder","TRUE","FALSE","Temporary Bridge","Lower Queen St (Right)"
"78f77ad4-7b16-4179-a7de-d4bbb0aadfb0","","","","folder","TRUE","FALSE","Temporary Bridge","Pier B"
"ec535d1c-08f7-4a85-a59b-36fe6f0fb91b","","","","folder","TRUE","FALSE","Temporary Bridge","Pier B (Left)"
"aa4e665e-52c3-4211-8250-e0290cfc47e1","","","","folder","TRUE","FALSE","Temporary Bridge","Pier C"
"a570dd05-5d2c-424f-8cdf-0e2bd12e38ed","","","","folder","TRUE","FALSE","Temporary Bridge","Pier C (Right)"
"c63e6e24-5746-4037-9943-5c4e8406046d","","","","folder","TRUE","FALSE","Temporary Bridge","Power"
"7e554097-4fda-48e5-ad24-704129f1dced","","","","folder","TRUE","FALSE","Temporary Bridge","River Protection"
"e77f9998-845b-4862-8e31-61686fe79b26","","","","folder","TRUE","FALSE","Temporary Bridge","Span 1"
"067e6a0e-b047-45f6-b048-8f967de1b62e","","","","folder","TRUE","FALSE","Temporary Bridge","Span 2"
"fd73aa8e-53e2-479b-920f-68e86296e9bc","","","","folder","TRUE","FALSE","Temporary Bridge","Span 3"
"4bb29a60-6ccf-4ae9-8dd4-f66365735d77","","","","folder","TRUE","FALSE","Temporary Bridge","Structural Fill"
"257a90ce-a4f5-4016-bb4b-1e0c746c37df","","","","folder","TRUE","FALSE","Temporary Bridge","Telecom"
"dfed25d1-f740-4d50-89c4-1e756713eef8","","","","folder","TRUE","FALSE","Temporary Bridge","Temporary Bridge Deck"
"a1a4d89f-478d-4e9a-8e81-7f61e6af997e","","","","folder","TRUE","FALSE","Temporary Bridge","Temporary Road"
"4b928c32-f2f5-4410-8825-b3bba33a0e65","","","","folder","TRUE","FALSE","Temporary Bridge","West Lower Queen St"
"dd1153cb-55a2-4fa2-9534-3b697e602e00","","","","folder","TRUE","FALSE","Permanent Bridge"
"fd52ccf0-0fb4-447b-966b-1700b99ec133","","","","folder","TRUE","FALSE","Permanent Bridge","Abutment A"
"be08e9ed-2486-452c-b96d-4edb783fafb7","","","","folder","TRUE","FALSE","Permanent Bridge","Abutment A (Left)"
"c4875bfb-8ef2-4b7f-9186-dc96e1a17afd","","","","folder","TRUE","FALSE","Permanent Bridge","Abutment D"
"695bf7d7-0475-45a9-9c72-1688fca2fa51","","","","folder","TRUE","FALSE","Permanent Bridge","Abutment D (Right)"
"7baeb5d3-6324-4eae-be37-4af42931d384","","","","folder","TRUE","FALSE","Permanent Bridge","Bulk Earthworks"
"2e836f0c-b9c8-4e29-88f0-0b46b6e7d223","","","","folder","TRUE","FALSE","Permanent Bridge","General"
"7c5aa174-45cb-4f5a-96c7-172a638f6931","","","","folder","TRUE","FALSE","Permanent Bridge","Hand Rails"
"ee5e19d4-bdd1-4fca-a12c-47def7bf5102","","","","folder","TRUE","FALSE","Permanent Bridge","Headingly Lane"
"d4ef392d-062e-43f9-bc74-31a7886194e7","","","","folder","TRUE","FALSE","Permanent Bridge","Lower Queen St (Left)"
"75b17a17-12c6-44bc-b356-1aa9cb537715","","","","folder","TRUE","FALSE","Permanent Bridge","Lower Queen St (Right)"
"13ea11e9-2bbf-4ccc-b7b6-fcb5d03ecd7e","","","","folder","TRUE","FALSE","Permanent Bridge","Manholes, Structures & Sumps"
"6d06373b-c22c-4ccb-beae-05c436362661","","","","folder","TRUE","FALSE","Permanent Bridge","Pier B"
"7112029b-acea-422f-859f-c91e6e3db56d","","","","folder","TRUE","FALSE","Permanent Bridge","Pier B (Left)"
"5514a826-68f7-441d-9c03-e5ed0598462b","","","","folder","TRUE","FALSE","Permanent Bridge","Pier C"
"c4c4622d-8618-40f8-948a-cda7413215c0","","","","folder","TRUE","FALSE","Permanent Bridge","Pier C (Right)"
"403da8d6-9083-44b5-b22b-a03d79aad19b","","","","folder","TRUE","FALSE","Permanent Bridge","Power"
"85eafd89-b778-44d3-b950-dfcd89fa49f1","","","","folder","TRUE","FALSE","Permanent Bridge","River Protection"
"7f219f5a-9abf-41d4-8ba1-66dd01cae6b9","","","","folder","TRUE","FALSE","Permanent Bridge","Span 1"
"b252b494-767c-43f7-a88b-67eac5689df5","","","","folder","TRUE","FALSE","Permanent Bridge","Span 2"
"f25bf877-887e-4249-8ceb-5932787cea8e","","","","folder","TRUE","FALSE","Permanent Bridge","Span 3"
"d29bd455-2bae-489e-bf07-2b0c7f7502bc","","","","folder","TRUE","FALSE","Permanent Bridge","Stormwater"
"28c08cc7-6c07-47c8-ae4a-8ac04fcce5b5","","","","folder","TRUE","FALSE","Permanent Bridge","Structural Fill"
"78d629be-5762-40eb-a72c-017ee0bc5d9e","","","","folder","TRUE","FALSE","Permanent Bridge","Telecom"
"ad6cc551-a28b-4ad8-b7d8-82d63d290baf","","","","folder","TRUE","FALSE","Permanent Bridge","Temporary Bridge Deck"
"e586bd8f-c069-4fe7-abdf-8c7d406abc2f","","","","folder","TRUE","FALSE","Permanent Bridge","Temporary Road"
"ab97420e-6b07-4e40-a855-c771c22fbf26","","","","folder","TRUE","FALSE","Permanent Bridge","Wastewater"
"a41ccd22-8230-4a77-b48c-7deae2ddab9a","","","","folder","TRUE","FALSE","Permanent Bridge","Water"
"fc7a4e9f-f90c-44af-aa8a-7c56d132a73e","","","","folder","TRUE","FALSE","Permanent Bridge","Bridge Lower Queen St"
"6b9a93c9-cdc2-4b4e-8f33-a434b3f29f75","","","","folder","TRUE","FALSE","Permanent Bridge","East Lower Queen St"
"4fbf10c5-7c33-433f-8b86-46539107c347","","","","folder","TRUE","FALSE","Permanent Bridge","West Lower Queen St"
"62f84daa-ed99-4b5c-8c87-338ad49071f8","","","","folder","TRUE","FALSE","Electrical & Telecom"
"b3f60e0c-d098-40ea-b183-c2f26ef2396d","","","","folder","TRUE","FALSE","Electrical & Telecom","Abutment A"
"2314f6eb-dd46-40b7-a09e-cfb8ae476542","","","","folder","TRUE","FALSE","Electrical & Telecom","Abutment A (Left)"
"ec43b6d3-6b31-460a-80dc-961b23ca123e","","","","folder","TRUE","FALSE","Electrical & Telecom","Abutment D"
"e4bfccda-8434-41f7-b654-e268b183a90d","","","","folder","TRUE","FALSE","Electrical & Telecom","Abutment D (Right)"
"85916c6f-6bdf-4713-a830-ef76fed44eef","","","","folder","TRUE","FALSE","Electrical & Telecom","General"
"cfa24278-3850-4944-83e2-53e2b9003e98","","","","folder","TRUE","FALSE","Electrical & Telecom","Headingly Lane"
"e6802684-f483-48bd-af33-bc13e34502e0","","","","folder","TRUE","FALSE","Electrical & Telecom","Lower Queen St (Left)"
"3ffa9d9e-3713-4caa-8f3a-a5c36906c5d2","","","","folder","TRUE","FALSE","Electrical & Telecom","Lower Queen St (Right)"
"2afd62ee-de08-4187-a8e2-5343a3af7ff1","","","","folder","TRUE","FALSE","Electrical & Telecom","Manholes, Structures & Sumps"
"977428c1-e82f-4cc0-88d7-2bf5ed00081a","","","","folder","TRUE","FALSE","Electrical & Telecom","Pier B"
"3a026414-c525-4088-9cac-abf7fe1e71e5","","","","folder","TRUE","FALSE","Electrical & Telecom","Pier B (Left)"
"58bb2cba-8f1d-4758-8b2c-f20d19007b26","","","","folder","TRUE","FALSE","Electrical & Telecom","Pier C"
"40490472-b077-47bf-907c-276136827bbb","","","","folder","TRUE","FALSE","Electrical & Telecom","Pier C (Right)"
"d2520d96-3804-459a-8f3e-c67f5c88fb6d","","","","folder","TRUE","FALSE","Electrical & Telecom","Stormwater"
"bff7c8a9-22b9-46af-adf9-7ea0051db92f","","","","folder","TRUE","FALSE","Electrical & Telecom","Temporary Bridge Deck"
"a1510a2e-cf94-4281-959f-9ec62015c5be","","","","folder","TRUE","FALSE","Electrical & Telecom","Wastewater"
"09ce6777-3356-498b-8e05-dbcacb65845b","","","","folder","TRUE","FALSE","Electrical & Telecom","Water"
"0c21701b-fbf3-462d-bba1-4df45db0403a","","","","folder","TRUE","FALSE","Electrical & Telecom","Span 1"
"60aa93ae-22d4-4c4a-a30c-3c5c0f40eecc","","","","folder","TRUE","FALSE","Electrical & Telecom","Bridge Lower Queen St"
"db89f598-99a7-4550-9ba8-4cef1edceb44","","","","folder","TRUE","FALSE","Electrical & Telecom","Bulk Earthworks"
"96765aa5-0f2a-4725-b870-b4942a57acce","","","","folder","TRUE","FALSE","Electrical & Telecom","East Lower Queen St"
