"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"355ef459-b353-4bd8-8662-10c122f66761","","folder-normal","fail","","step","TRUE","FALSE","QA"
"be662c48-8e32-49c7-a243-9edd3ffb8210","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Foundations"
"01a4b51d-7570-4a83-a5a0-a25e9a2564b8","","checklist-sectioned","not-applicable","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground (LG)","Zone 5 (Grid 1-6 & K-N)"
"135cf0c7-ab4e-4310-a62e-fc4afc456515","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground (LG)","Zone 6 (Grid 6-12 & K-N)"
"d56a6e06-f8e0-559a-9460-8747a416ec7e","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground (LG)","Gas Line - Zone 1"
"a4eb3cbd-4794-5378-b97c-185adc7d8fb3","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground (LG)","Gas Line - Zone 2"
"0e34bbcb-7610-5f13-8cdf-b2c44e8aae20","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground (LG)","Gas Line - Zone 3"
"3c8cf81f-347f-52a6-a8e6-8a32b0763b03","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground (LG)","Gas Line - Zone 4"
"bfda77a0-6e42-5bfe-8398-763c63c413c3","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground (LG)","Gas Line - Zone 5"
"43d3a0ba-8558-5a2a-99fd-7bc8bd49d2d5","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground (LG)","Gas Line - Zone 6"
"fb49d285-ad88-441d-a1de-b4628659181b","","folder-normal","pass","","step","TRUE","FALSE","QA","Lower Ground Mezz(LGm)"
"c9c8c262-660d-46ff-88bf-4e55d3062af6","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 1 (Grid 1-6 & A-F)"
"31e33a9e-646f-4fab-a393-0a89cc3ae8eb","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 2 (Grid 6-12 & A-F)"
"5aeba30b-716a-42fc-b449-f737e802a97f","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 3 (Grid 1-6 & G-K)"
"f42ee59d-899c-4fe4-bc12-a131e0203429","","checklist-sectioned","not-applicable","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 4 (Grid 6-12 & F-K)"
"37cfcab5-5615-4686-af12-592d3a1822da","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 5 (Grid 1-6 & K-N)"
"5eadfba6-e3cd-4b42-af69-4d145a28b274","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Zone 6 (Grid 6-12 & K-N)"
"2db5da90-fd29-5dd9-b619-b7794f506032","","checklist-flat","pass","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Gas Line - Zone 1"
"e3c6bcf4-5522-5ffb-b83d-611b54cc5d4d","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Gas Line - Zone 2"
"412d042c-73bb-52bc-848e-c069a47a50ab","","checklist-flat","pass","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Gas Line - Zone 3"
"6f775ff6-c35f-58e0-8a58-fdc047c186bc","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Gas Line - Zone 4"
"7b61d341-32c3-598e-8492-3c039cad9857","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Gas Line - Zone 5"
"e8acf9b5-1a12-5e12-9425-b7921d4c6ed5","","checklist-flat","pass","Gas Line","checklist-flat","FALSE","FALSE","QA","Lower Ground Mezz(LGm)","Gas Line - Zone 6"
"2528d01c-d975-4d5e-8e6a-b302c561194d","","folder-normal","pass","","step","TRUE","FALSE","QA","Upper Ground(UG)"
"15a3425d-b663-4f06-9d56-901b15a58a24","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground(UG)","Zone 1 (Grid 1-6 & A-F)"
"84ef2226-c431-41cb-b076-7e297a6c58e9","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground(UG)","Zone 2 (Grid 6-12 & A-F)"
"2d975928-3a91-415c-8cd7-8f0869811c72","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground(UG)","Zone 3 (Grid 1-6 & G-K)"
"6ac47610-8d07-463c-99e1-0451fc060efd","","checklist-sectioned","not-applicable","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground(UG)","Zone 4 (Grid 6-12 & F-K)"
"9bb1f9a7-d72f-424c-adce-2b92fb493fdc","","checklist-sectioned","not-applicable","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground(UG)","Zone 5 (Grid 1-6 & K-N)"
"4fb03b45-d157-4784-b19f-0610c9189a7b","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground(UG)","Zone 6 (Grid 6-12 & K-N)"
"6094f8f5-5164-50c4-b626-fa941b28bf4c","","checklist-flat","pass","Gas Line","checklist-flat","FALSE","FALSE","QA","Upper Ground(UG)","Gas Line - Zone 1"
"fae28b0b-59d3-59ec-b922-5703239959ad","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Upper Ground(UG)","Gas Line - Zone 2"
"b8a63c1c-95e0-5dad-8572-88259e207a40","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Upper Ground(UG)","Gas Line - Zone 3"
"33887128-f077-54b2-9778-a9b322744286","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Upper Ground(UG)","Gas Line - Zone 4"
"02bbde34-4095-5fc0-8d03-cd24b167dc66","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Upper Ground(UG)","Gas Line - Zone 5"
"58a1ed57-7572-5914-b1b4-a7d20a860a77","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Upper Ground(UG)","Gas Line - Zone 6"
"830e8e61-c467-4059-a86c-51037e4948bf","","folder-normal","fail","","step","TRUE","FALSE","QA","Townhouses"
"e2118a92-6f0b-57c3-a298-3c5838bdbb64","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  420  Plumbing QA"
"38f0bbef-b138-427c-b764-cbac77b4d3c0","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 420 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"8df2284a-2c11-40a9-8109-8a86ea3c16fe","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  421  Plumbing QA "
"09526db2-8d7a-4b1c-9b03-f5a381eafd3b","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 421 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"66b35589-b6e3-4c6f-8609-1687b7e302b5","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  422  Plumbing QA "
"e0dc85b3-616f-47da-87b4-a14f0b483499","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 422 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"cc7f01b6-6bbc-4fc1-9c82-1010af36e3dd","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse 423  Plumbing QA "
"669c967c-fb7f-4ac7-aa4b-ac6f5cf46738","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 423 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"ea52bf78-6572-4ae0-86ac-0fbaef71758a","","checklist-sectioned","pass","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  424 Plumbing QA "
"ae8f06df-9f17-48a9-ad40-51ee4c29de20","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 424 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"71fde21e-ec41-5f6b-9f5e-7662cb68d450","","checklist-sectioned","pass","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  425  Plumbing QA"
"9090720e-eae6-4096-9a0f-16088f6a46d7","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 425 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"f6bbcacc-fd40-5275-8aba-f558a26ee5a8","","checklist-sectioned","pass","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  426 Plumbing QA"
"437d2bdc-70f7-4a50-adb0-06a61dfb69e3","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 426 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"60d86205-4571-5457-9ffb-da056ae5e66c","","checklist-sectioned","pass","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  427 Plumbing QA"
"b356e217-4907-4dca-b9fa-1f459a7c3e89","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 427 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"3d91936c-cf8f-51e8-95e5-db9357c63a32","","checklist-sectioned","pass","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  428  Plumbing QA"
"25ed8a48-a6cf-4403-9ae6-bcfe493995b8","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 428 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"df37245b-6ba6-5ca2-bfa9-1aea844961c4","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  429 Plumbing QA"
"c3d1eb30-0a70-4a01-8e40-c1da2b9a784c","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 429 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"60b8df65-01b1-5e1a-a6c9-0183548c317d","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  430 Plumbing QA"
"35ccd730-a600-4d5b-a309-6fc02c09b6c0","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 430 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"ea6722f4-d923-57fd-832f-b95882546085","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  431 Plumbing QA"
"3a94e3a2-1ff4-4811-bdc6-c4be9ea3a65d","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 431 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"8f8b376f-6a53-5af3-bff6-a45682d53df8","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  432 Plumbing QA"
"8fbd81a9-2730-492c-933b-5146f1d1289d","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 432 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"56dfb92e-0615-515d-8b66-eccac6d8cd56","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  433 Plumbing QA"
"01ca59a1-261d-4833-bb81-05a0e2e7f2d7","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 433 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"f40c5c6b-e878-53be-846a-539e2ffdbe07","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  434 Plumbing QA"
"9149bef8-1a22-4a05-a723-1e16c2de54c5","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 434 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"ff5e3e01-9ea2-58aa-a33c-61b6a283f115","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  435 Plumbing QA"
"2cb87e1e-7dfd-43fd-9d8d-54c20b628255","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 435 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"edf6b2f2-c893-5781-94c5-090e4c4bab4f","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  436 Plumbing QA"
"d0359ad6-6ff9-41c9-804c-3c7ef680b6fd","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 436 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"a652e4ac-27e3-5b5b-8c06-cd782764553f","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  437 Plumbing QA"
"b5b0d2b3-e0a6-4da5-9e4b-b293a5aeb223","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 437 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"ce964104-4a00-542e-941d-e570cc8ece05","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  438 Plumbing QA"
"1c2b05be-a586-4f6e-bc10-6bb96e6dcd16","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 438 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"2b78fee3-b6db-55a8-b577-39b1f640dbe4","","checklist-sectioned","pass","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  439 Plumbing QA"
"19f4c602-78e3-4ba6-8b7c-011551e55b96","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 439 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"5d78884f-cb1d-573a-b9c8-cee422e97940","","checklist-sectioned","pass","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  440 Plumbing QA"
"5c3c097a-c4aa-4922-a2dd-d69726734259","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 440 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"d76bdc3d-934c-514c-9caf-9b64425c8af1","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  441 Plumbing QA"
"d804821f-9a91-4aae-810e-0204a4a4d402","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 441 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"830fc77c-49c7-5750-bf4d-3445936498e7","","checklist-sectioned","fail","Townhouse Plumbing QA","checklist","FALSE","FALSE","QA","Townhouses","Townhouse  442 Plumbing QA"
"e5186045-ccd6-4503-9d52-b79ae3f72b6b","","checklist-flat","not-started","Townhouse Plumbing QA - Second Fix (Correct Flow Rate)","checklist-flat","FALSE","FALSE","QA","Townhouses","Townhouse 442 Plumbing QA - Second Fix (Correct flow rate to kitchen sink & overflow outlet keeping up)"
"54a09007-c4be-4f23-8cc5-ea9be4fe9a5c","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Upper Ground Mezz(UGm)"
"b27bd3b6-c66e-4a3e-8e59-b31289953779","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground Mezz(UGm)","Zone 1 (Grid 1-6 & A-F)"
"9075677b-e1ee-4f98-a9e2-9f6e1d2054b9","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground Mezz(UGm)","Zone 2 (Grid 6-12 & A-F)"
"d5eac780-4a3b-4e80-97ad-5aaf10f7f759","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground Mezz(UGm)","Zone 3 (Grid 1-6 & G-K)"
"f391f338-b487-4939-a5e5-e40a432abad0","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground Mezz(UGm)","Zone 4 (Grid 6-12 & F-K)"
"afcb6692-212b-4d7e-9efd-f3d9b31ad07a","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground Mezz(UGm)","Zone 5 (Grid 1-6 & K-N)"
"b95e90c5-d00c-49e8-ac22-5bcbeeba3963","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Upper Ground Mezz(UGm)","Zone 6 (Grid 6-12 & K-N)"
"aac73f9c-bae5-5ae2-ae40-b20c47372aa1","","checklist-flat","pass","Gas Line","checklist-flat","FALSE","FALSE","QA","Upper Ground Mezz(UGm)","Gas Line - Zone 1"
"a1a4d565-c2cf-5f29-9c28-e0c529e2ce27","","checklist-flat","pass","Gas Line","checklist-flat","FALSE","FALSE","QA","Upper Ground Mezz(UGm)","Gas Line - Zone 2"
"600c738a-dfec-562f-ab12-58c58b3ebb2a","","checklist-flat","not-applicable","Gas Line","checklist-flat","FALSE","FALSE","QA","Upper Ground Mezz(UGm)","Gas Line - Zone 3"
