resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-05,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-06,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-07,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-08,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-09,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-10,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,TER-EL-CDBU-02-2002,,,,,,,
,step,,,,,Distribution Boards,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,
,step,,,,,Subcircuits,,,,,,
,step,,,,,,Power,,,,,
,step,,,,,,,CB-01,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-02,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-03,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-04,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-05,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-06,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-07,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-08,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-09,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-10,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,TER-EL-CDBU-02-2001,,,,,,,
,step,,,,,Distribution Boards,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,
,step,,,,,Subcircuits,,,,,,
,step,,,,,,Power,,,,,
,step,,,,,,,CB-01,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-02,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-03,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-04,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-05,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-06,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-07,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-08,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-09,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-10,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,EL-HDBE-02-2001,,,,,,,
,step,,,,,Subcircuits,,,,,,
,step,,,,,,Lighting,,,,,
,step,,,,,,,CB-01,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-02,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-03,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-04,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-05,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-06,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-07,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-08,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-09,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-10,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,Power,,,,,
,step,,,,,,,CB-01,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-02,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-03,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-04,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-05,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,
,step,,,,,,,CB-06,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,
