"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"12ba4f5b-0f79-534c-b6be-de40fa017410","","pass","SYS - Thursday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 8, 2024 - April 12, 2024","Thursday"
"19ff7feb-bbc7-58c7-a5e9-e2c2e86f5b1c","","pass","SYS - Tuesday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 8, 2024 - April 12, 2024","Friday"
"c3df4775-ceb8-5a58-a780-17d86f09bf12","","fail","","folder","TRUE","FALSE","Tasks","2024","April 15, 2024 - April 19, 2024"
"506bf895-ef13-42b8-bba9-2aef9d81b7b4","","pass","SYS - Monday (v2)","checklist","FALSE","FALSE","Tasks","2024","April 15, 2024 - April 19, 2024","Monday"
"f30bffc8-bc5e-4eeb-bd08-ee50e9a3ed6f","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 15, 2024 - April 19, 2024","Tuesday"
"eb2d6ae6-6403-41a8-af7e-61f3db2b77c9","","pass","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","April 15, 2024 - April 19, 2024","Wednesday"
"0ad06e3c-fcdb-49a0-917f-04e63fe55a88","","fail","SYS - Thursday (v2)","checklist","FALSE","FALSE","Tasks","2024","April 15, 2024 - April 19, 2024","Thursday"
"273cd1f7-d2b4-434e-92a0-796413359953","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 15, 2024 - April 19, 2024","Friday"
"dfb5fd05-bba1-5363-afb6-c0c60cce34ea","","fail","","folder","TRUE","FALSE","Tasks","2024","April 22, 2024 - April 26, 2024"
"be2eecae-be4f-5c1e-9fe2-39887e8ffd5d","","fail","SYS - Monday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 22, 2024 - April 26, 2024","Monday"
"d8a1f3f6-1dad-4711-aea2-4f56e988876c","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 22, 2024 - April 26, 2024","Tuesday"
"d0519e51-d19e-4a34-a488-7e7c41caa843","","pass","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","April 22, 2024 - April 26, 2024","Wednesday"
"ea29ba53-01db-4213-9ede-0d6c67b23ed5","","not-applicable","SYS - Thursday (v2)","checklist","FALSE","FALSE","Tasks","2024","April 22, 2024 - April 26, 2024","Thursday"
"73da7816-891e-4501-a56e-d21be740cd76","","not-applicable","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 22, 2024 - April 26, 2024","Friday"
"33f1b74b-b393-40a1-9ed1-ef917a6fc93c","","fail","","folder","TRUE","FALSE","Tasks","2024","April 29, 2024 - May 3, 2024"
"16cf279c-8915-47a5-be6c-d6257d00dbfc","","pass","SYS - Monday (v2)","checklist","FALSE","FALSE","Tasks","2024","April 29, 2024 - May 3, 2024","Monday"
"a61967d4-d6dd-4ea6-a134-1ac39338b73e","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 29, 2024 - May 3, 2024","Tuesday"
"fceeb8a0-fade-4cdb-ae93-5fd244dbe5c5","","fail","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","April 29, 2024 - May 3, 2024","Wednesday"
"51a3ecfe-3d6c-4346-9993-a2e2275f8fe3","","pass","SYS - Thursday (v2)","checklist","FALSE","FALSE","Tasks","2024","April 29, 2024 - May 3, 2024","Thursday"
"33f968c8-a3c1-4aa1-b117-9eda6e058140","","fail","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 29, 2024 - May 3, 2024","Friday"
"f431865a-4b5d-4114-b40c-177bb815f161","","fail","","folder","TRUE","FALSE","Tasks","2024","May 6, 2024 - May 10, 2024"
"9a533218-26e9-45f2-9d29-0432943c4be5","","fail","SYS - Monday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 6, 2024 - May 10, 2024","Monday"
"f46ff7d1-0862-4960-aa44-8d7aa08458f1","","fail","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","May 6, 2024 - May 10, 2024","Tuesday"
"c3207819-d339-48eb-ba0d-b1ba0b3ab4c5","","pass","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 6, 2024 - May 10, 2024","Wednesday"
"415c3e56-64dd-49c5-af83-ce79dfe717c3","","fail","SYS - Thursday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 6, 2024 - May 10, 2024","Thursday"
"60c08865-044a-4152-9db5-30b1666167a6","","fail","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","May 6, 2024 - May 10, 2024","Friday"
"874874f7-16cb-4de8-bd00-e1b74956db62","","fail","","folder","TRUE","FALSE","Tasks","2024","May 13, 2024 - May 17, 2024"
"0dda7f98-266a-4d17-96c9-653677be3546","","fail","SYS - Monday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 13, 2024 - May 17, 2024","Monday"
"0c62293d-d7d1-4f96-a7e0-b38a1b7fee44","","fail","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","May 13, 2024 - May 17, 2024","Tuesday"
"d64831e7-18b3-4b46-821c-e5e35e9ce3b6","","fail","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 13, 2024 - May 17, 2024","Wednesday"
"235634d8-f473-46ba-ae34-7488fd035843","","pass","SYS - Thursday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 13, 2024 - May 17, 2024","Thursday"
"47333cce-a7f4-4569-a11a-43245a50e228","","fail","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","May 13, 2024 - May 17, 2024","Friday"
"ffc920b1-d198-4c83-b142-9aebc71ef7c6","","pass","","folder","TRUE","FALSE","Tasks","2024","May 20, 2024 - May 24, 2024"
"9c9d993c-2fb3-4de0-b744-ff18387c6b26","","pass","SYS - Monday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 20, 2024 - May 24, 2024","Monday"
"168488a5-29bb-44c4-a36d-7b239a0842f5","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","May 20, 2024 - May 24, 2024","Tuesday"
"b3723dfc-d836-443b-aaeb-50128877d92c","","pass","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 20, 2024 - May 24, 2024","Wednesday"
"126b0fc6-df8e-409e-aff3-09738c7d92b2","","pass","SYS - Thursday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 20, 2024 - May 24, 2024","Thursday"
"91072f4a-13ff-43ef-8f52-55f5a0026bcd","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","May 20, 2024 - May 24, 2024","Friday"
"d3e23a4f-aa0f-4557-a06f-837e403d9788","","pass","","folder","TRUE","FALSE","Tasks","2024","May 27, 2024 - May 31, 2024"
"4dca69f6-acc3-4f43-bc4c-fa4e9f20e373","","pass","SYS - Monday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 27, 2024 - May 31, 2024","Monday"
"d9f63c21-bdb4-474b-a527-5d7abbc5096d","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","May 27, 2024 - May 31, 2024","Tuesday"
"960b6c04-3124-4964-b809-15f885204da4","","pass","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 27, 2024 - May 31, 2024","Wednesday"
"c0f38d70-d770-44b7-805c-3e7b18cc2f59","","pass","SYS - Thursday (v2)","checklist","FALSE","FALSE","Tasks","2024","May 27, 2024 - May 31, 2024","Thursday"
"fd8f678c-2297-4373-919d-fc4784bd7b5e","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","May 27, 2024 - May 31, 2024","Friday"
"92d1e811-f240-4ef2-88c9-eaab6278547a","","fail","","folder","TRUE","FALSE","Tasks","2024","June 3, 2024 - June 7, 2024"
"d65c4d53-906e-4108-8bd3-36ddb505cd03","","not-applicable","SYS - Monday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 3, 2024 - June 7, 2024","Monday"
"906a90da-14ab-4f14-8400-cd3037a2dcfc","","fail","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","June 3, 2024 - June 7, 2024","Tuesday"
"3dc512b4-f19f-4894-bc1d-f16cd03e2a4f","","pass","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 3, 2024 - June 7, 2024","Wednesday"
"44ba9eb2-63e6-4f31-b657-633385480912","","pass","SYS - Thursday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 3, 2024 - June 7, 2024","Thursday"
"21d5fb06-00ed-4dca-b245-820c608fdc67","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","June 3, 2024 - June 7, 2024","Friday"
"3687e4fe-291d-412c-a0e8-d78cb52a15c8","","fail","","folder","TRUE","FALSE","Tasks","2024","June 10, 2024 - June 14, 2024"
"88d9f8f8-3e51-445b-8074-6ab168cc61c3","","pass","SYS - Monday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 10, 2024 - June 14, 2024","Monday"
"8d28f00c-351a-4fe3-97ec-8b28e9f09adb","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","June 10, 2024 - June 14, 2024","Tuesday"
"2c26750d-3f61-4ef1-b18f-542c46976e7b","","fail","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 10, 2024 - June 14, 2024","Wednesday"
"10108ba6-bef3-4824-882e-5b2d47f439ec","","fail","SYS - Thursday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 10, 2024 - June 14, 2024","Thursday"
"c8e45153-66f2-4d81-b8c5-1b704d8058ce","","fail","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","June 10, 2024 - June 14, 2024","Friday"
"433c45d0-22b7-4b15-8d7f-19c1e9a17d7d","","fail","","folder","TRUE","FALSE","Tasks","2024","June 17, 2024 - June 21, 2024"
"af3fe4f8-d145-4cbd-9c39-d43f087a8b0f","","fail","SYS - Monday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 17, 2024 - June 21, 2024","Monday"
"eb96b0f0-b9d4-4ee2-9aab-315a3afaff43","","fail","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","June 17, 2024 - June 21, 2024","Tuesday"
"8792c3a2-56a6-4c13-9154-7c8cdc9adabc","","fail","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 17, 2024 - June 21, 2024","Wednesday"
"8319cd5f-5a1a-4370-9c1b-c10ee497488b","","pass","SYS - Thursday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 17, 2024 - June 21, 2024","Thursday"
"f6db963c-6cce-4fb5-803f-13c799f655b8","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","June 17, 2024 - June 21, 2024","Friday"
"18991d6c-4f27-45ee-a950-463acb0bbb67","","pass","","folder","TRUE","FALSE","Tasks","2024","June 24, 2024 - June 28, 2024"
"90e8ace5-ca8b-4724-a3fe-b7f3a700bdcd","","pass","SYS - Monday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 24, 2024 - June 28, 2024","Monday"
"0eadb01b-5342-49c2-b591-3113b204b9dc","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","2024","June 24, 2024 - June 28, 2024","Tuesday"
"24118bf9-18d3-45fa-9a92-750a2a852e95","","pass","SYS - Wednesday (v2)","checklist","FALSE","FALSE","Tasks","2024","June 24, 2024 - June 28, 2024","Wednesday"
"51bf9979-882f-47c7-9ac7-112ce1b1db20","","pass","SYS - Thursday (v1)","checklist","FALSE","FALSE","Tasks","2024","June 24, 2024 - June 28, 2024","Thursday"
"a8c98028-763c-4600-b4a3-20ebcfb4aeef","","pass","SYS - Friday (v1)","checklist","FALSE","FALSE","Tasks","2024","June 24, 2024 - June 28, 2024","Friday"
"115566f6-1372-4688-8e96-dd3533f7e148","","fail","","folder","TRUE","FALSE","Tasks","2024","July 1, 2024 - July 5, 2024"
"0e082aeb-138b-4639-8f7d-b9bad157bcad","","not-applicable","SYS - Monday (v1)","checklist","FALSE","FALSE","Tasks","2024","July 1, 2024 - July 5, 2024","Monday"
"51ebbdfe-8583-4466-a98e-5bff927ea963","","fail","SYS - Tuesday (v1)","checklist","FALSE","FALSE","Tasks","2024","July 1, 2024 - July 5, 2024","Tuesday"
"59bcbb68-35ac-4243-9251-8274729962b6","","fail","SYS - Wednesday (v1)","checklist","FALSE","FALSE","Tasks","2024","July 1, 2024 - July 5, 2024","Wednesday"
"1762f5a3-426c-44cb-8a45-1bc47372953f","","pass","SYS - Thursday (v1)","checklist","FALSE","FALSE","Tasks","2024","July 1, 2024 - July 5, 2024","Thursday"
"fbf9108f-d170-4833-afa7-de7860d066cb","","pass","SYS - Friday (v1)","checklist","FALSE","FALSE","Tasks","2024","July 1, 2024 - July 5, 2024","Friday"
"70c0d04f-3d54-45f0-84bf-395417e83ced","","fail","","folder","TRUE","FALSE","Tasks","2024","July 8, 2024 - July 12, 2024"
"efe78e6f-4209-40e2-9679-6d55ec2b5657","","fail","04dc4f86b36a1dffbcd7b59df27c61cf9a9e8e36317d2047466267b4d951beda","checklist","FALSE","FALSE","Tasks","2024","July 8, 2024 - July 12, 2024","Monday"
"478c1a96-4721-4826-8e7d-125799824c6f","","pass","f77ee04d548ba79205eb5bf15154f1b8f8891b540f20a9f798f60fa7c1ce27d1","checklist","FALSE","FALSE","Tasks","2024","July 8, 2024 - July 12, 2024","Tuesday"
"8c824bc3-8f5f-4f90-b7c9-7cbd4e7fd79e","","pass","1552ba07c7b03cb1d08cda8da383b4a0d62c2967244676ea826ef1476e30df1e","checklist","FALSE","FALSE","Tasks","2024","July 8, 2024 - July 12, 2024","Wednesday"
"1aacc9d9-2c19-4f95-a716-d6d309da38da","","pass","b66458d2ffe3b80c209042c198ef1c6cf2ea5ac25ab498d332728db42554c1da","checklist","FALSE","FALSE","Tasks","2024","July 8, 2024 - July 12, 2024","Thursday"
"3b70c51d-322b-4d7f-b2a0-37cf5188ab4a","","pass","445d2bb77e6495abdcab50faf73c70e9eae58a3c35da9ecf193c2a954f1280b6","checklist","FALSE","FALSE","Tasks","2024","July 8, 2024 - July 12, 2024","Friday"
"0b1bba61-01e2-4d69-ba05-06f1c32f56d7","","pass","","folder","TRUE","FALSE","Tasks","2024","July 15, 2024 - July 19, 2024"
"87266df9-ef53-454d-8b4b-0a617218f5a8","","pass","04dc4f86b36a1dffbcd7b59df27c61cf9a9e8e36317d2047466267b4d951beda","checklist","FALSE","FALSE","Tasks","2024","July 15, 2024 - July 19, 2024","Monday"
"7cad172e-d2b3-40ea-83b6-f3cd13c508f5","","pass","f77ee04d548ba79205eb5bf15154f1b8f8891b540f20a9f798f60fa7c1ce27d1","checklist","FALSE","FALSE","Tasks","2024","July 15, 2024 - July 19, 2024","Tuesday"
"066dbdcd-5ccc-4c0b-b1c9-625654f197f2","","pass","1552ba07c7b03cb1d08cda8da383b4a0d62c2967244676ea826ef1476e30df1e","checklist","FALSE","FALSE","Tasks","2024","July 15, 2024 - July 19, 2024","Wednesday"
"1f5cd5eb-bace-4680-81c7-25d979f0337a","","pass","b66458d2ffe3b80c209042c198ef1c6cf2ea5ac25ab498d332728db42554c1da","checklist","FALSE","FALSE","Tasks","2024","July 15, 2024 - July 19, 2024","Thursday"
"d5d2a03a-f82b-48e9-a4af-0c9d5a3bfce6","","pass","445d2bb77e6495abdcab50faf73c70e9eae58a3c35da9ecf193c2a954f1280b6","checklist","FALSE","FALSE","Tasks","2024","July 15, 2024 - July 19, 2024","Friday"
"f9e4f42b-6e91-4da8-bef4-192bd31a2385","","fail","","folder","TRUE","FALSE","Tasks","2024","July 22, 2024 - July 26, 2024"
"469263f9-5d98-4a1f-bafe-8a678afb4ba1","","pass","04dc4f86b36a1dffbcd7b59df27c61cf9a9e8e36317d2047466267b4d951beda","checklist","FALSE","FALSE","Tasks","2024","July 22, 2024 - July 26, 2024","Monday"
"8ab28947-626e-460e-96c2-9b3f5d28db0e","","pass","f77ee04d548ba79205eb5bf15154f1b8f8891b540f20a9f798f60fa7c1ce27d1","checklist","FALSE","FALSE","Tasks","2024","July 22, 2024 - July 26, 2024","Tuesday"
"b6876f02-dc60-48d2-8b47-148645221311","","fail","1552ba07c7b03cb1d08cda8da383b4a0d62c2967244676ea826ef1476e30df1e","checklist","FALSE","FALSE","Tasks","2024","July 22, 2024 - July 26, 2024","Wednesday"
"8a10f1ce-8ef3-469d-99b5-95fa3186ddd6","","fail","b66458d2ffe3b80c209042c198ef1c6cf2ea5ac25ab498d332728db42554c1da","checklist","FALSE","FALSE","Tasks","2024","July 22, 2024 - July 26, 2024","Thursday"
"e1b93f9f-07d6-4385-9e0e-a3b0e38b5755","","pass","445d2bb77e6495abdcab50faf73c70e9eae58a3c35da9ecf193c2a954f1280b6","checklist","FALSE","FALSE","Tasks","2024","July 22, 2024 - July 26, 2024","Friday"
"148d0845-23b9-477c-9f2e-8227220703e8","","pass","","folder","TRUE","FALSE","Tasks","2024","July 29, 2024 - August 2, 2024"
"19036d3c-aa58-46a5-9cbf-7a987a544f74","","pass","04dc4f86b36a1dffbcd7b59df27c61cf9a9e8e36317d2047466267b4d951beda","checklist","FALSE","FALSE","Tasks","2024","July 29, 2024 - August 2, 2024","Monday"
"2f3d6fd4-7308-4aca-8655-64cf32e7c2b9","","pass","f77ee04d548ba79205eb5bf15154f1b8f8891b540f20a9f798f60fa7c1ce27d1","checklist","FALSE","FALSE","Tasks","2024","July 29, 2024 - August 2, 2024","Tuesday"
"68c55133-c247-4f4f-8127-0db527666a3c","","pass","1552ba07c7b03cb1d08cda8da383b4a0d62c2967244676ea826ef1476e30df1e","checklist","FALSE","FALSE","Tasks","2024","July 29, 2024 - August 2, 2024","Wednesday"
"64076035-12ef-4d61-b51f-5f4e3f367f03","","pass","b66458d2ffe3b80c209042c198ef1c6cf2ea5ac25ab498d332728db42554c1da","checklist","FALSE","FALSE","Tasks","2024","July 29, 2024 - August 2, 2024","Thursday"
"185d812b-364c-482f-a87a-6da87d0b6dc6","","pass","445d2bb77e6495abdcab50faf73c70e9eae58a3c35da9ecf193c2a954f1280b6","checklist","FALSE","FALSE","Tasks","2024","July 29, 2024 - August 2, 2024","Friday"
"0aae2aed-a224-43e3-ab43-8967cbf6d159","","pass","","folder","TRUE","FALSE","Tasks","2024","August 5, 2024 - August 9, 2024"
"ad018125-7372-476e-bad1-84e087cf63d1","","pass","04dc4f86b36a1dffbcd7b59df27c61cf9a9e8e36317d2047466267b4d951beda","checklist","FALSE","FALSE","Tasks","2024","August 5, 2024 - August 9, 2024","Monday"
"451b9ec2-635d-479b-8f7f-e1b5984902c4","","pass","f77ee04d548ba79205eb5bf15154f1b8f8891b540f20a9f798f60fa7c1ce27d1","checklist","FALSE","FALSE","Tasks","2024","August 5, 2024 - August 9, 2024","Tuesday"
"3a814569-5f74-4336-ad10-f5970857f2d1","","pass","1552ba07c7b03cb1d08cda8da383b4a0d62c2967244676ea826ef1476e30df1e","checklist","FALSE","FALSE","Tasks","2024","August 5, 2024 - August 9, 2024","Wednesday"
"07dde65f-c4c4-41f8-b667-71e56f5f220b","","pass","b66458d2ffe3b80c209042c198ef1c6cf2ea5ac25ab498d332728db42554c1da","checklist","FALSE","FALSE","Tasks","2024","August 5, 2024 - August 9, 2024","Thursday"
"b4387ef8-268d-4765-b9a6-5b524c5b855c","","pass","445d2bb77e6495abdcab50faf73c70e9eae58a3c35da9ecf193c2a954f1280b6","checklist","FALSE","FALSE","Tasks","2024","August 5, 2024 - August 9, 2024","Friday"
"0a2bf1ae-b62c-4ab5-9404-05859b5e91ed","","work-in-progress","","folder","TRUE","FALSE","Tasks","2024","August 12, 2024 - August 16, 2024"
"28c66183-4c0b-4e9c-8fb1-d238ee0070c4","","pass","04dc4f86b36a1dffbcd7b59df27c61cf9a9e8e36317d2047466267b4d951beda","checklist","FALSE","FALSE","Tasks","2024","August 12, 2024 - August 16, 2024","Monday"
"6cf5c606-9af6-4e3d-918e-be842343833f","","not-started","f77ee04d548ba79205eb5bf15154f1b8f8891b540f20a9f798f60fa7c1ce27d1","checklist","FALSE","FALSE","Tasks","2024","August 12, 2024 - August 16, 2024","Tuesday"
"364b5c8c-3ec9-4aef-be8f-972a924bfcaa","","not-started","1552ba07c7b03cb1d08cda8da383b4a0d62c2967244676ea826ef1476e30df1e","checklist","FALSE","FALSE","Tasks","2024","August 12, 2024 - August 16, 2024","Wednesday"
"6b9ab50a-5683-45eb-9bf6-71ac12639bc8","","not-started","b66458d2ffe3b80c209042c198ef1c6cf2ea5ac25ab498d332728db42554c1da","checklist","FALSE","FALSE","Tasks","2024","August 12, 2024 - August 16, 2024","Thursday"
"46de3661-fa1c-4a5c-8bc8-040d24aee002","","not-started","445d2bb77e6495abdcab50faf73c70e9eae58a3c35da9ecf193c2a954f1280b6","checklist","FALSE","FALSE","Tasks","2024","August 12, 2024 - August 16, 2024","Friday"
"742294bf-2618-422b-9bde-68ca419a976c","","pass","","folder","TRUE","FALSE","Tasks","2024","August 19, 2024 - August 23, 2024"
"13061f0f-2b89-48b9-97ae-de237d56341c","","pass","04dc4f86b36a1dffbcd7b59df27c61cf9a9e8e36317d2047466267b4d951beda","checklist","FALSE","FALSE","Tasks","2024","August 19, 2024 - August 23, 2024","Monday"
"740d9341-7338-4182-b3e6-bc9e0bdca623","","pass","f77ee04d548ba79205eb5bf15154f1b8f8891b540f20a9f798f60fa7c1ce27d1","checklist","FALSE","FALSE","Tasks","2024","August 19, 2024 - August 23, 2024","Tuesday"
"f2709b75-4f06-4997-86e2-a61362b65416","","pass","1552ba07c7b03cb1d08cda8da383b4a0d62c2967244676ea826ef1476e30df1e","checklist","FALSE","FALSE","Tasks","2024","August 19, 2024 - August 23, 2024","Wednesday"
"6f9d5aaa-9839-4cbd-88ea-780bbb63b150","","pass","b66458d2ffe3b80c209042c198ef1c6cf2ea5ac25ab498d332728db42554c1da","checklist","FALSE","FALSE","Tasks","2024","August 19, 2024 - August 23, 2024","Thursday"
