"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1fc4b491-7ba7-46f0-80dd-d1f3b25e520a","","folder-normal","fail","","step","TRUE","FALSE","Appselec - Site QA"
"59496fdc-124a-452a-8067-7000d7fc0281","","folder-normal","fail","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs"
"3e90e029-c5d0-4cc6-90c7-ede6affaa351","","folder-normal","fail","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS"
"92900b0b-19ae-44f2-a9d0-6d401f3d3911","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2"
"a62a81f9-5fe6-4cfd-8e49-8ff709691d6e","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4634"
"e1da060c-377c-4368-a814-5bf3d59a4852","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 5079","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"bdb768cb-afef-4412-84f2-21418985fbb8","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4951"
"99f9127c-2f7a-47cc-990d-138f625bb591","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4951","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"e1a99f80-fba9-41b8-bfde-5077c348ae5c","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4951","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"3b323439-7388-4b23-a9be-4deda4a23b5e","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4951","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"af9871c6-5a47-4bc9-84d2-94f2e108f143","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1"
"13ebd40e-98d1-4ce0-a22b-a551b583db81","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","AE 5060"
"b4eaf64f-c16d-4665-b857-faad39daf3c3","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","AE 5060","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"cc190560-6f7f-489b-adb3-eeb2285ffda3","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","AE 5060","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"33193246-4b2d-4f0e-961d-490040d31e02","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","AE 5060","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"722a5587-4388-4b58-a682-4ea76426c237","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","AE 6261"
"754e25fb-7a0a-4c94-afeb-4b6041b28625","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","AE 6261","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"5c926888-9ba3-4d10-9c21-0f8bdfa89710","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","AE 6261","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"64560a9f-a784-4df6-8017-d850caf0a121","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","AE 6261","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"8a04a494-464c-4d2e-a346-802d5fe2f82c","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","DB AMMENITIES"
"11d09fe6-5768-4e09-80db-19d118489d63","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","DB AMMENITIES","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"220889a1-8df2-4170-aeb2-e29805ca469c","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","DB AMMENITIES","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"7bdb4076-2335-41b5-a3ba-ca08b2ffc0d6","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 1","DB AMMENITIES","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"2ed04deb-6c9e-4b96-a7c6-f92f73759d33","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground"
"5a7e0e6e-35bb-4f97-94e5-59b669150133","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5033"
"bbd1900c-31be-4aa9-ae1c-a1f2d63eaefc","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5033","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"5da10717-0ebb-45cb-ae39-fe3539b836c6","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5033","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"93ec2cec-d0f9-4c46-8966-4364f0d97025","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5033","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"d2ecc79d-23fb-403e-b38d-61b649b6ac87","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 4246"
"ea04274c-f47b-462e-96e8-ea32b94c44fa","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 4246","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"a193e46a-c47f-4769-8782-b2819ba60426","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 4246","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"2231d44b-fe98-4a23-aab0-a41838182186","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 4246","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"3dfc0a21-8a5c-4160-9a80-0e80bcaebc0b","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5112"
"b44c459e-c469-4455-8209-67e63513b54e","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5112","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"d090a1fb-3a3b-4bca-a49d-525275d08130","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5112","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"ef0fbcb2-533e-41c5-949a-0038c65da470","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5112","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"f896ce4c-d57f-4473-a05b-4ba5f9fe31ab","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AEQ 014"
"2734a729-547f-4eb2-98b7-8e4d74d20309","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AEQ 014","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"3dd1a9b3-ae8a-4ecc-9367-c624b64fcce7","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AEQ 014","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"c8a89d6d-97b6-434e-ad05-4ca29ff3b10f","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AEQ 014","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"93695c96-7c3f-4133-9797-4163feeeaceb","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5048"
"da5f92d4-c226-4b07-b147-02ffed7c2c97","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5048","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"b3685314-c491-432e-8152-89ee8603a0f6","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5048","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"ae2e9ce2-4544-4183-98f7-4eb4eb246e5d","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 5048","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"c31dfdd7-db62-4ba0-994b-b28f10bb9f94","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 4960"
"91ab31e4-acda-44ee-a3ec-bade9da9813d","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 4960","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"497f43c2-53cb-4865-ae9d-effbc41b6338","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 4960","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"7ef0697d-9a7f-4859-82be-78af0c38ebdb","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","AE 4960","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"940b166e-7dc9-4211-a3eb-f9af673b4a45","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","Main Temp Board "
"7db1a60f-b74f-4d4c-94c4-a2215718204a","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Ground","Main Temp Board ","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"d37f464b-9829-48bf-be7b-1f9d8cebad3a","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 1"
"dac91f52-88f2-4350-a541-8c705c01bc88","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 1","AE 5087"
"7bc149fe-93ee-42c0-a832-4da2090307b5","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 1","AE 5087","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"55e33f47-ece6-49f5-b602-0b93652b6fdb","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 1","AE 5087","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"08b76293-fbda-408e-b753-021a27c98c8c","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 1","AE 5087","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"882e1109-1d57-431b-9294-af9dbb45e4f8","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 1","AE 4400"
"18b3179c-e91b-4c88-9321-93ec8f5ddc71","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 1","AE 4400","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"c54c14f4-2d9f-42a8-ac98-fa20e05c2c68","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 1","AE 4400","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"fb1c7633-7824-44fa-885b-cfd415416a2d","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 1","AE 4400","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"069b4972-26f8-4eac-aca9-fdfe24d57127","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2"
"ba67ce17-318b-432d-9659-b2d11694848b","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 4597"
"0cffcee5-5980-4852-962b-13aad0f61710","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 4597","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"f3f88eb2-6b50-4d6f-9c42-6ac86d708d32","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 4597","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"9957a8f4-89fd-43d1-9631-02884686ce64","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 4597","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"bf9993a7-fd76-4793-b3b5-3fa04cebc9e6","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 5108"
"6b77c65c-9551-4b6c-997f-35b48355aa72","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 5108","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"d46c63be-653e-4989-a965-e33ba9a3522c","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 5108","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"74f80dcf-19f5-4a72-a891-8d83d9745bb7","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 5108","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"9f3ccaee-6991-4c91-a529-50a44ec5f34b","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 5171"
"c7730a11-6d6c-4ec1-8f11-0332c6ef507a","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 5171","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"f05ea30e-eb8f-4c4b-80f5-d70df7a4faa2","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 5171","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"3131e2cb-c1b5-4e7e-9325-224ce859d8aa","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 2","AE 5171","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"e7ed3cd4-3530-46d4-bab4-93c795a04edb","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level  3"
"91c19202-aaa1-43d6-bfdf-11eef55ee97c","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level  3","AE 4573"
"27dbbb38-2de6-4f68-b2db-3427f17553bd","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level  3","AE 4573","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"5cd36807-16f0-484b-888b-f8e75148b0dd","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level  3","AE 4573","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"f7455108-cac1-46c5-8d35-f063ddb9eb3e","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level  3","AE 4573","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"c36342de-d298-4c09-92a4-57d9220cb1a7","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level  3","AE 4608"
"6c1338ce-29f2-4fba-bf95-10cdb3277b60","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level  3","AE 4608","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"1faee82a-aa53-416c-a2aa-700ccb31bcae","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level  3","AE 4608","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"9d1fade6-6be6-40b3-b189-492f6ad89e9c","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level  3","AE 4608","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"e7f87590-4a89-4f6d-a53f-f70284886223","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 4"
"7adf7fb5-6433-4ab3-a5bb-79de1a1de46c","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 4","AE 4523"
"92719594-209f-47b8-9514-7dfcd9cc8af5","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 4","AE 4523","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"246d0cb5-df08-4ecb-a64e-1aedef6a3346","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Level 4","AE 4523","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
