"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8c386a6d-c87d-48f2-9d7c-1ed813dbb8d4","","folder-normal","work-in-progress","","step","FALSE","FALSE","Zone 1"
"3beed634-fa11-4f11-89db-8d2343eadac7","","folder-normal","work-in-progress","","step","FALSE","FALSE","Zone 1","Eastbound"
"6425aa4f-219c-47c7-9566-d7f4b90dfe64","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone 1","Eastbound","Utilities"
"3a23b95e-f700-41a2-a78b-82d1e5034171","","checklist-sectioned","work-in-progress","ITP - Shared Services Trench","checklist","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910"
"0180ae6a-7112-56f7-94c7-9c485034ed93","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation"
"5d3d8c83-2838-5cf2-92cb-5e1ad0ba1c6b","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Close Out","100.17 - Collate above documentation"
"6279aaa4-2731-5a56-b75e-acb87daa238e","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Close Out","100.18 - As-built drawings"
"21c9eb44-6f64-56b1-bb8b-4d139807b434","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Close Out","Client Final Inspection - the signature below verifies that this ITP has been completed in accordance with NZTA Specifications and verifies lot compliance."
"c4f8a71b-4490-4de0-b0f5-d60c9aa8ef45","","checklist-sectioned","work-in-progress","ITP - Shared Services Trench","checklist","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948"
"69e7488b-51d6-53d1-9de4-73bcfddbd1ed","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Setout, Materials and Preparation"
"cee78bd4-1ddb-58ba-a52a-e67a9f6bc4ca","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Setout, Materials and Preparation","100.1 - Method Statement Development / Job Safety & Environmental Analysis"
"2ca3385c-4680-54d2-9d1e-bbe40a1f7bcd","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Setout, Materials and Preparation","100.2 - Drawings and Specifications"
"a3f8420a-96c5-5e12-a002-7077bf153821","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Setout, Materials and Preparation","100.3 - Ducting / Piping"
"ec4628d9-2c46-5224-9249-8f6770ab8001","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Setout, Materials and Preparation","100.4 - Service Pits / Chambers"
"8e47474c-dee0-5172-873f-91e763a083b3","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Setout, Materials and Preparation","100.5 - Tape / Mag Slab"
"fd790647-7f55-53a6-bdb6-6db820936af8","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Setout, Materials and Preparation","100.6 - Survey Set Out"
"f163720e-0430-59f9-b79c-197e5730f730","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Setout, Materials and Preparation","100.7 - Sediment Controls are in place for the particular section"
"5457a661-97f4-5d3a-a792-1f9d21e5d9b5","","checkpoint-group","pass","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing"
"2ea4b90e-b66b-5bc0-9725-7e1be673dac2","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.8 - Excavation of trench"
"3dd50bc1-72f0-560c-b728-3b074aaf369c","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.9 - Installation of Ducts"
"1d64cfeb-0b79-5ce1-ae2d-8618879e8dc0","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.10 - Installation of Ducts"
"3829a970-372c-5e6b-8c6d-eeb7a8c5bfa0","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.11 - Installation of Ducts"
"f8685a0e-4c1b-5608-890d-d5e466e2b0d1","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.12 - Installation of Ducts"
"9debbd87-f4c9-5f54-ae56-913c7f7d6cb7","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.13"
"41f35a5a-54f6-5d58-b983-208f332b6a4b","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.14"
"8737a844-1cf4-52af-9d5d-9861c768e49b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.15 - Pavement Layer Construction"
"fa4a69ae-30b3-520e-baa9-319299e29e8e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.15.1 - Pavement Layer Construction"
"be4809f7-fc10-53f6-a07e-7ccd3b29f93a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.15.2 - Pavement Layer Construction"
"d31b12d6-38dd-545a-9b03-479efcac5cf4","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Construction and Finishing","100.16 - Finished Surface"
"0b2c17be-8fb3-5e95-9b71-866b76ff41d8","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Close Out"
"80d13f06-f336-5620-9189-ca26f6449831","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Close Out","100.17 - Collate above documentation"
"6ac30e49-87f2-5a7d-b45d-583bba244bc2","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Close Out","100.18 - As-built drawings"
"74aba723-11ca-5bf4-b163-32980d390d9b","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1918-1948","Close Out","Client Final Inspection - the signature below verifies that this ITP has been completed in accordance with NZTA Specifications and verifies lot compliance."
"11344cdd-a071-4515-93e8-beac6c0d5af5","","checklist-sectioned","not-started","ITP - Shared Services Trench","checklist","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990"
"f53de560-4d5c-5690-9d3f-a5c1caf88145","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Setout, Materials and Preparation"
"7d22b4e5-31b7-594e-939c-1a8b91c12c0b","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Setout, Materials and Preparation","100.1 - Method Statement Development / Job Safety & Environmental Analysis"
"782c011a-8c29-59fa-b2f9-06a963611fa3","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Setout, Materials and Preparation","100.2 - Drawings and Specifications"
"09cdf7c4-ab54-5023-8454-72e3370797dd","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Setout, Materials and Preparation","100.3 - Ducting / Piping"
"6df5741a-42ed-5a54-996e-c7c216e4106a","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Setout, Materials and Preparation","100.4 - Service Pits / Chambers"
"b2422cd0-0e61-5c16-a1b8-a0cd2466d03b","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Setout, Materials and Preparation","100.5 - Tape / Mag Slab"
"e68bdadb-292a-546d-9024-8f4a9ba7f6cb","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Setout, Materials and Preparation","100.6 - Survey Set Out"
"ecba17f5-3c7a-57cc-acd7-03bbba08d4fc","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Setout, Materials and Preparation","100.7 - Sediment Controls are in place for the particular section"
"7e3fed4c-374c-59fb-b330-b1f99c4080c4","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing"
"ea2cf742-cc87-530c-8cb9-09cd0ff9558e","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.8 - Excavation of trench"
"e298601e-e474-5ba3-891b-72bb5a2428a7","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.9 - Installation of Ducts"
"7f73b876-dae8-5df5-8b59-9afad18a4905","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.10 - Installation of Ducts"
"1f44061a-bfb0-5079-9c63-361b7fdc92ac","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.11 - Installation of Ducts"
"fd31f904-4732-58e6-befe-159f1704e89c","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.12 - Installation of Ducts"
"21d59af6-efc8-5a21-826a-7b6a815c87ce","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.13"
"d71fa9bf-d643-56e1-bebf-85dfd3ed9827","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.14"
"999dab18-b3f8-5ceb-9efd-2ac7c947f9aa","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.15 - Pavement Layer Construction"
"c40d1bd6-3880-5d55-afea-e53161993c09","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.15.1 - Pavement Layer Construction"
"0537375a-633b-5d6c-86a9-7d0791e9588b","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.15.2 - Pavement Layer Construction"
"dacb39d6-8dc3-547e-bf3e-07cbfb04fefa","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Construction and Finishing","100.16 - Finished Surface"
"e614eec0-8a92-5ed1-9324-2a0d51866624","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Close Out"
"ea532d4e-3ac8-593b-ae85-0f911b0abebc","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Close Out","100.17 - Collate above documentation"
"9cfa1ae1-b7ce-5760-9c56-52b1add435b5","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Close Out","100.18 - As-built drawings"
"eb9a2d4d-bc20-55ca-aa88-c2ee03d1cc06","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1948-1990","Close Out","Client Final Inspection - the signature below verifies that this ITP has been completed in accordance with NZTA Specifications and verifies lot compliance."
"2aaac10b-4b62-4b56-afcc-ab4960263947","","checklist-sectioned","not-started","ITP - Shared Services Trench","checklist","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008"
"fe816f69-dda8-563b-95fa-a1d11f8d577f","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Setout, Materials and Preparation"
"1e1a7b67-1faf-53d8-a5cc-b3557700ac78","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Setout, Materials and Preparation","100.1 - Method Statement Development / Job Safety & Environmental Analysis"
"65c6d44a-72cd-581e-b7b3-a82b0f0fb9a2","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Setout, Materials and Preparation","100.2 - Drawings and Specifications"
"dfeda37f-80b9-5de0-8c00-870841d81384","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Setout, Materials and Preparation","100.3 - Ducting / Piping"
"f4558374-3846-58f0-96ab-4beb16a46724","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Setout, Materials and Preparation","100.4 - Service Pits / Chambers"
"9e078d65-a9ce-5218-835f-2218744986c1","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Setout, Materials and Preparation","100.5 - Tape / Mag Slab"
"0e13cf68-31d9-5425-93b7-4f550d59dc6d","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Setout, Materials and Preparation","100.6 - Survey Set Out"
"384ae2c5-28ef-5ab7-ad1c-625ab982c4aa","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Setout, Materials and Preparation","100.7 - Sediment Controls are in place for the particular section"
"f2dd8263-1a6b-5765-aea2-be3934757a54","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing"
"1dbcd8bd-98a2-56ee-be27-83db714f1dc6","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.8 - Excavation of trench"
"b79f02d8-adcc-532a-a238-b3da6aa91bb1","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.9 - Installation of Ducts"
"ac5bc7a0-817c-5eb5-b431-8f9290ccbe58","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.10 - Installation of Ducts"
"835bbd6f-f072-5279-88ed-1d5a0b55feb3","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.11 - Installation of Ducts"
"d8ba2579-e977-5323-868b-c2d6ef1cfecc","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.12 - Installation of Ducts"
"687d52b2-98ab-5365-9dc7-d63cbc338ecc","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.13"
"ed3cc580-a43c-5143-8ee1-e7b36e2a154c","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.14"
"1821d17e-a01b-57b7-b03c-c6e8c2ffc309","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.15 - Pavement Layer Construction"
"5bd274b7-5030-56d2-b9b7-47ea9c50c8c7","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.15.1 - Pavement Layer Construction"
"3c7ab155-0b49-5318-89ad-4c391b9a80c7","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.15.2 - Pavement Layer Construction"
"0573cdd3-cb06-5a9a-a2d0-8a784b75207e","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Construction and Finishing","100.16 - Finished Surface"
"956526bd-4e0b-52a5-bc3e-77edd73e4b1a","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Close Out"
"58950851-ac8e-5075-9855-15ccc0afd236","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Close Out","100.17 - Collate above documentation"
"52e04c7a-b26c-574a-aa6d-d06874964c0a","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Close Out","100.18 - As-built drawings"
"6bb8ce7c-1dc3-5006-9583-d60d07cc7c20","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1990-2008","Close Out","Client Final Inspection - the signature below verifies that this ITP has been completed in accordance with NZTA Specifications and verifies lot compliance."
"9b1ec245-4740-44ed-9c34-f84e438cb6a4","","checklist-sectioned","not-started","ITP - Shared Services Trench","checklist","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032"
"1eef4ab2-96a6-589d-966a-ac6e174edb52","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Setout, Materials and Preparation"
"592e7e4b-4145-566b-aa36-cbe957d07db9","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Setout, Materials and Preparation","100.1 - Method Statement Development / Job Safety & Environmental Analysis"
"b65c488f-b1a2-58c5-9605-351fc8e6aaa2","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Setout, Materials and Preparation","100.2 - Drawings and Specifications"
"4c0bc78a-48f2-57f4-bd5b-bea5bec0bfd7","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Setout, Materials and Preparation","100.3 - Ducting / Piping"
"3eb0c682-3e65-576d-8ad7-85a2442f10cb","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Setout, Materials and Preparation","100.4 - Service Pits / Chambers"
"6c214c94-d963-51aa-942e-81013ab25487","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Setout, Materials and Preparation","100.5 - Tape / Mag Slab"
"cb0a183e-744f-5496-b1d5-32b919fb6452","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Setout, Materials and Preparation","100.6 - Survey Set Out"
"1b4d1467-bffc-53cd-9ff8-2da2b9eb151c","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Setout, Materials and Preparation","100.7 - Sediment Controls are in place for the particular section"
"015242da-a0ed-55d4-82b7-0b22ce8ea709","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Construction and Finishing"
"4a0cd0fd-bb6c-58d6-bf05-231c7ca5a7a6","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Construction and Finishing","100.8 - Excavation of trench"
"72c2e831-0e7c-512c-8fea-0ec385b6696c","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Construction and Finishing","100.9 - Installation of Ducts"
"943e287b-720d-5f8b-8206-e0e754b479cd","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Construction and Finishing","100.10 - Installation of Ducts"
"4235c43a-33ee-5056-b47f-7d05047e8c2b","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Construction and Finishing","100.11 - Installation of Ducts"
"fab178dd-e795-5481-abc3-ed8ef4ec6c92","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH2008-2032","Construction and Finishing","100.12 - Installation of Ducts"
