resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,19,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,20,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,21,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,22,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,23,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,24,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,25,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,26,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,27,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,27A,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,28,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,29,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,30,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,31,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,32,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,33,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,34,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,34A,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,34B,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,35,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,36,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,35A,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,35B,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,36,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,37,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,38,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,39,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,40,,,,,,,
Precast Product Pre-Pour & Post-Pour Checklist,checklist,,,,41,,,,,,,
,step,,,Site QA,,,,,,,,
Site QA,checklist,,,,Mains Drawings,,,,,,,
Site QA,checklist,,,,Shop Drawings,,,,,,,
Site QA,checklist,,,,1,,,,,,,
Site QA,checklist,,,,2,,,,,,,
Site QA,checklist,,,,3,,,,,,,
Site QA,checklist,,,,4,,,,,,,
Site QA,checklist,,,,5,,,,,,,
Site QA,checklist,,,,6,,,,,,,
Site QA,checklist,,,,7,,,,,,,
Site QA,checklist,,,,8,,,,,,,
Site QA,checklist,,,,9,,,,,,,
Site QA,checklist,,,,10,,,,,,,
Site QA,checklist,,,,11,,,,,,,
Site QA,checklist,,,,12,,,,,,,
Site QA,checklist,,,,13,,,,,,,
Site QA,checklist,,,,14,,,,,,,
Site QA,checklist,,,,15,,,,,,,
Site QA,checklist,,,,16,,,,,,,
Site QA,checklist,,,,17,,,,,,,
Site QA,checklist,,,,18,,,,,,,
Site QA,checklist,,,,19,,,,,,,
Site QA,checklist,,,,20,,,,,,,
Site QA,checklist,,,,21,,,,,,,
Site QA,checklist,,,,22,,,,,,,
Site QA,checklist,,,,23,,,,,,,
Site QA,checklist,,,,24,,,,,,,
Site QA,checklist,,,,25,,,,,,,
Site QA,checklist,,,,26,,,,,,,
Site QA,checklist,,,,27,,,,,,,
Site QA,checklist,,,,27A,,,,,,,
Site QA,checklist,,,,28,,,,,,,
Site QA,checklist,,,,29,,,,,,,
Site QA,checklist,,,,30,,,,,,,
Site QA,checklist,,,,31,,,,,,,
Site QA,checklist,,,,32,,,,,,,
Site QA,checklist,,,,33,,,,,,,
Site QA,checklist,,,,34,,,,,,,
Site QA,checklist,,,,34A,,,,,,,
Site QA,checklist,,,,34B,,,,,,,
Site QA,checklist,,,,35,,,,,,,
Site QA,checklist,,,,36,,,,,,,
Site QA,checklist,,,,35A,,,,,,,
Site QA,checklist,,,,35B,,,,,,,
Site QA,checklist,,,,36,,,,,,,
Site QA,checklist,,,,37,,,,,,,
Site QA,checklist,,,,38,,,,,,,
Site QA,checklist,,,,39,,,,,,,
Site QA,checklist,,,,40,,,,,,,
Site QA,checklist,,,,41,,,,,,,
