"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"122c9329-d415-4620-b9d7-75864c7e5b80","","work-in-progress","","folder","TRUE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits"
"732e0189-f5c8-4c86-b8f2-09d1c2d4fc41","","work-in-progress","","folder","TRUE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls"
"2177db18-0dd5-4835-a7b0-06ad41543110","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T19 - Core Walls"
"9c59aed1-62cf-4e27-a41a-e8ad444e10c0","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T20 - Core Walls"
"b98d4004-d5bc-4dce-be82-7f73a42c1519","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T21 - Core Walls"
"aee17bba-bd40-4000-93b9-9a82c731adae","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T22 - Core Walls"
"fc7af450-eff8-4ab6-a7ff-04a4c8c88f47","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T23 - Core Walls"
"ec3a29a6-6ef5-4075-8d71-8584687c301c","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T24 - Core Walls"
"5f653c04-38ef-4051-8665-47addf2f3588","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T25 - Core Walls"
"6ebe428e-c971-4257-bb00-38e6ecccb4f5","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T26 - Core Walls"
"a76d16ef-f6ba-439a-bc41-8a4f47841447","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T27 - Core Walls"
"e5a135bc-1bfd-49c2-a37d-196d91424de4","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T28 - Core Walls"
"70e2d591-ab88-417b-b0d7-adcd8386aa10","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T29 - Core Walls"
"1beb621d-e669-4110-b421-47d1df898a3c","","work-in-progress","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T30 - Core Walls"
"aa7e3c91-783f-4d2b-a363-834992dce42b","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T31 - Core Walls"
"d69e0b88-d042-4d67-a17d-c519e869e331","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T32 - Core Walls"
"8d6523f9-3720-47a9-85dc-0b4cceca977d","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T33 - Core Walls"
"a2d03023-a045-4667-815c-599d70124947","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T34 - Core Walls"
"4a5164c8-4fab-4333-9284-d7bf1586b51c","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T35 - Core Walls"
"f4cbf47e-37fd-4197-b7d7-cdbde3043cb4","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T36 - Core Walls"
"acf18524-7532-4803-a8f2-b200dcd75490","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T37 - Core Walls"
"01ac1f6c-ebf0-456c-9ff4-3dcc94239d03","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T38 - Core Walls"
"796877a3-9938-43f0-bcea-72bcb3bea258","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T39 - Core Walls"
"38fc2cc4-cb84-4bb7-8fc3-07ce9ff0d52e","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T40 - Core Walls"
"827685d6-43b0-4cd4-8f0b-57cad9925820","","work-in-progress","","folder","TRUE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab"
"dded1aa7-1e7e-41e1-89f3-827179ee2fbe","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","B2 - Lobby In Slab"
"d14a1b06-5bf4-4826-82c9-05434c5f78ff","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","B1 - Lobby In Slab"
"fc1ad733-42e9-4b1c-82dd-adf17eed4905","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","B1M - Lobby In Slab"
"7731fa1f-2de9-4506-8434-8e8cc1565009","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","LOWER GROUND - Lobby In Slab"
"1e8a5fe4-4153-4a3f-9d20-41d2145b03cd","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","UPPER GROUND - Lobby In Slab"
"850ee9c7-ead8-43a2-b0ce-c0377ebe08e2","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","MEZZANINE - Lobby In Slab"
"366b25ed-a6df-4993-a7e5-f4c7f7042be1","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","OSD - Lobby In Slab"
"bbdde642-f8db-4c70-9eae-f6ff5d091d00","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","CORE PLANT LEVEL 1 - Lobby In Slab"
"df6086c9-5fb0-4450-bd8b-c8cc2f744551","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","CORE PLANT LEVEL 2 - Lobby In Slab"
"abe2a878-bd05-4a16-b955-0efcaa109e9f","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T01 - Lobby In Slab"
"1551b648-ed37-4a56-afdf-5e8c52258232","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T02 - Lobby In Slab"
"c56c99da-d669-47ea-a4c7-770ba0a68613","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T03 - Lobby In Slab"
"f9636ed3-d957-4610-a1cd-bc57e34ca19b","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T04 - Lobby In Slab"
"1349e2aa-2dfa-4f71-afd5-d9cec4cc0c8f","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T05 - Lobby In Slab"
"8d61e580-9598-4641-9c57-479c10dacd87","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T06 - Lobby In Slab"
"83e1f309-9198-4fdb-b431-d44e9a12787d","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T07 - Lobby In Slab"
"18942e6e-5947-4dcc-b9e9-48b3cf246fcd","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T08 - Lobby In Slab"
"bd9038f3-b77d-4c9c-bffd-2fee87cbfc55","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T09 - Lobby In Slab"
"70fcac49-6ef5-411e-a473-e15cd46922fa","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T10 - Lobby In Slab"
"edf61b9c-d2e8-454f-9c2f-cf8fcfee2ea0","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T11 - Lobby In Slab"
"86cedcbb-28fb-49e4-a8dc-79fa0d743b57","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T12 - Lobby In Slab"
"685f8f4d-0ad3-4466-8832-57a0f952e2df","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T13 - Lobby In Slab"
"59d4e167-39ab-4afd-99d1-a2c6590aa6d9","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T14 - Lobby In Slab"
"52de3ecf-2d41-423d-b39d-34afc237beb3","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T15 - Lobby In Slab"
"cf34cd04-fca0-43dc-9479-ec745b5a4d15","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T16 - Lobby In Slab"
"a232cda3-1809-406b-96da-4b528ce0859a","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T17 - Lobby In Slab"
"4ac74adf-7c74-4281-a2e6-6af5d32bf413","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T18 - Lobby In Slab"
"c7a0c967-3102-4f47-b5ef-1b363fe7d447","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T19 - Lobby In Slab"
"7b20ec97-a7f0-44bf-87e8-4de700801ced","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T20 - Lobby In Slab"
"023658b2-50d0-4e5e-9072-6fb73bdffb38","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T21 - Lobby In Slab"
"67caf8a1-bba4-4b30-8554-58114e6c17a3","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T22 - Lobby In Slab"
"3ee242a0-5219-4a87-8f15-6a08c0de1a44","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T23 - Lobby In Slab"
"7b2e0b52-b920-4632-b823-4e9eeaee0e1b","","pass","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Lobby In Slab","T24 - Lobby In Slab"
